ligand,receptor,truelabel,pred
BMP5,BMPR1B,0,0,0.6896
BMP5,BMPR2,1,1,0.9949
BMP5,HFE2,0,0,0.0615
BMP7,ACVR1,0,0,0.0000
BMP7,BMPR1A,0,0,0.1236
BMP7,BMPR2,0,0,0.0000
BMP7,ENG,1,1,0.9994
BTC,EGFR,0,1,0.9584
BTC,ERBB4,0,0,0.0000
BTLA,CD247,1,1,0.9975
BTLA,CD79A,0,0,0.0000
C1QA,CD93,1,1,0.9768
C1QA,CR1,0,0,0.0000
C1orf112,PLSCR4,1,0,0.7166
C3,C5AR2,0,0,0.0237
C3,CD46,0,0,0.0000
C3,CD81,1,0,0.0000
C3,CR1,0,0,0.0000
C3,GRM7,0,0,0.0275
C3,ITGB2,0,0,0.0000
C3,LRP1,0,0,0.2255
C4A,C3AR1,1,1,0.9984
C4BPA,LRP1,0,0,0.0290
C4B,CR1,0,0,0.0000
C5,ADRA2A,0,0,0.0000
C5,C5AR1,1,1,0.9999
C5,C5AR2,0,0,0.4372
CALCA,CALCR,0,0,0.0000
CALCA,PTH1R,0,0,0.0000
CALCA,TSHR,0,0,0.0000
CALCB,ADCYAP1R1,0,0,0.7885
CALCB,PTH1R,0,0,0.0000
CALCB,RAMP3,0,0,0.0000
CALCB,TSHR,0,0,0.0000
CALM1,ABCA1,0,0,0.3432
CALM1,ADCYAP1R1,0,0,0.2269
CALM1,CALCR,0,0,0.0059
CALM1,CRHR1,0,0,0.0000
CALM1,GP6,0,0,0.0000
CALM1,GRM5,0,0,0.0000
CALM1,INSR,0,0,0.0000
CALM1,MYLK,0,0,0.2964
CALM1,PTH2R,0,0,0.5948
CALM1,PTPRA,0,0,0.2418
CALM1,SCN10A,0,0,0.6458
CALM1,SCTR,0,0,0.8436
CALM2,ABCA1,0,0,0.0898
CALM2,CACNA1C,0,0,0.0000
CALM2,GP6,1,1,0.9961
CALM2,GRM7,0,0,0.1028
CALM2,SCN10A,0,0,0.0000
CALM3,ABCA1,0,0,0.0000
CALM3,EGFR,0,0,0.0790
CALM3,GRM5,1,1,0.9958
CALM3,INSR,0,0,0.0000
CALM3,PDE1C,0,0,0.2271
CALM3,SCN10A,0,0,0.0000
CALR,HLA-F,0,0,0.0000
CALR,ITGA2B,1,1,0.9979
CALR,MTNR1A,0,0,0.4205
CAMP,FPR2,1,1,0.9761
CAMP,IGF1R,0,0,0.0000
CCK,CCKBR,0,0,0.0106
CCL11,CCR3,0,0,0.0000
CCL11,CCR5,0,0,0.0000
CCL13,CCR1,0,0,0.0000
CCL13,CCR2,0,0,0.0677
CCL13,CCR3,0,0,0.0000
CCL13,CCR5,0,0,0.0673
CCL14,CCR5,0,0,0.0000
CCL15,CCR3,1,1,0.9999
CCL17,ACKR1,0,0,0.5582
CCL17,ACKR1,0,0,0.5582
CCL18,C14orf1,1,1,0.9996
CCL19,ACKR2,0,0,0.0299
CCL19,ACKR4,1,1,0.9994
CCL19,ADRA2A,0,0,0.0346
CCL19,CCR10,0,0,0.0000
CCL19,CCRL2,0,0,0.0000
CCL19,CXCR3,0,0,0.0000
CCL19,GRM7,0,0,0.8424
CCL19,MTNR1A,0,0,0.0000
CCL1,CCR8,1,0,0.7370
CCL20,ADRA2A,0,0,0.0000
CCL20,GRM7,0,0,0.0000
CCL21,ACKR2,0,0,0.0823
CCL21,ADRA2A,0,0,0.0229
CCL21,MTNR1A,0,0,0.0000
CCL23,ADRA2A,0,0,0.0039
CCL23,GRM7,1,1,0.9960
CCL25,ACKR2,0,0,0.0819
CCL25,ACKR4,0,0,0.0000
CCL25,ADRA2A,0,0,0.0228
CCL25,GRM7,0,0,0.0000
CCL2,CCR2,0,1,1.0000
CCL2,CCR3,0,0,0.0000
CCL2,CCR4,0,0,0.0173
CCL2,CCR5,1,1,1.0000
CCL2,ACKR1,0,0,0.0000
CCL5,ACKR2,0,0,0.0000
CCL5,ADRA2A,0,0,0.0000
CCL5,CCR4,0,0,0.0113
CCL5,CCR5,0,0,0.0000
CCL5,CXCR3,1,1,0.9972
CCL5,GRM7,0,0,0.0000
CCL5,MTNR1A,0,0,0.0000
CCL5,SDC1,0,0,0.0000
CCL5,SDC4,0,0,0.0000
CD14,ITGB1,0,0,0.0000
CD14,ITGB2,0,0,0.0000
CD14,TLR4,0,0,0.0000
CD14,TLR6,0,0,0.0000
CD24,SELP,1,1,0.9505
CD274,PDCD1,1,1,0.9660
CD40LG,ITGAM,0,0,0.0005
CD40LG,ITGB2,0,0,0.0000
CD48,CD2,1,1,0.9832
CD55,CR1,0,0,0.0000
CD80,CTLA4,0,0,0.0000
CD86,CD28,0,0,0.0000
CD86,CTLA4,1,1,0.9933
CDH1,CDH2,0,0,0.0000
CDH1,ERBB3,0,0,0.0000
CDH1,IGF1R,0,0,0.0000
CDH1,ITGB7,0,0,0.0000
CDH1,LRP5,0,0,0.0000
CDH1,PTPRF,0,0,0.0000
CDH1,PTPRM,1,1,1.0000
CEL,CXCR4,1,1,0.9932
CFC1,ACVR2A,0,0,0.0000
CGA,LHCGR,0,0,0.3200
CGA,TSHR,0,0,0.0000
CGA,VIPR1,0,0,0.0000
CGB3,LHCGR,1,1,0.9707
CGB3,SIRPA,0,0,0.8488
CGN,TGFBR1,0,0,0.1332
CHAD,ITGA2,1,1,0.9997
CKLF,CCR4,0,0,0.0068
CLCF1,LIFR,0,0,0.0000
CNTF,IL6ST,0,0,0.0000
CNTF,LIFR,0,0,0.0000
CNTN2,CNTN1,1,1,0.9997
CNTN2,NRCAM,0,0,0.0002
CNTN4,PTPRG,1,1,0.9986
COL14A1,CD44,1,1,0.9921
COL18A1,GPC1,1,1,0.9996
COL18A1,GPC4,0,0,0.0000
COL18A1,ITGB1,0,0,0.0000
COL18A1,ITGB3,0,0,0.0507
COL18A1,ITGB5,0,0,0.0000
COL18A1,KDR,0,0,0.0000
COL1A1,CD44,0,0,0.0000
COL1A1,ITGA2,0,0,0.0000
COL1A1,ITGA5,0,0,0.0000
COL1A1,ITGAV,0,0,0.0000
COL1A1,TMPRSS6,0,0,0.0000
COL1A2,CD36,0,0,0.0917
COL1A2,CD44,0,0,0.0211
COL1A2,ITGA2B,0,0,0.0000
COL1A2,ITGB1,0,0,0.0000
COL1A2,ITGB3,0,0,0.1353
COL2A1,ITGA2,0,0,0.0000
COL2A1,ITGB1,0,0,0.0000
COL3A1,ITGB1,0,0,0.0000
COL4A1,ITGA1,0,0,0.0888
COL4A1,ITGB8,1,1,0.9979
COL4A2,CD93,0,0,0.0000
COL4A2,ITGB5,1,1,0.9995
COL5A1,ITGA1,0,1,0.9842
COL5A1,SDC3,1,1,0.9991
COL6A1,ITGA2,0,0,0.0000
COL6A1,ITGA6,1,0,0.8324
COL6A1,ITGB1,0,0,0.0348
COLQ,MUSK,1,1,0.9892
CORT,MTNR1A,0,0,0.0000
CPAMD8,SCTR,1,0,0.7605
CRH,ADRB2,0,0,0.0000
CRH,ADRB3,0,0,0.0000
CRH,GPR20,0,0,0.6362
CRH,GPR84,0,0,0.0000
CRH,PTH1R,0,0,0.0000
CRH,RAMP3,0,0,0.1302
CSF2,CSF1R,0,0,0.0931
CSF2,CSF2RB,0,0,0.0060
CSF2,CSF3R,0,0,0.6716
CSF2,ITGB1,0,0,0.0000
CSF2,SDC2,0,0,0.0000
CSF3,CSF1R,0,0,0.0298
CSH1,PRLR,1,1,0.9893
CSHL1,GHR,1,1,0.9961
CSHL1,PRLR,0,0,0.0000
CTF1,IL6ST,1,1,0.9830
CTF1,LIFR,0,0,0.0000
CTGF,ITGA5,0,0,0.0000
CTGF,LRP1,0,0,0.0000
CXCL10,ADRA2A,0,0,0.0000
CXCL10,CCR3,0,0,0.0000
CXCL10,GRM7,0,0,0.0000
CXCL10,MTNR1A,0,0,0.0000
CXCL10,SDC4,1,1,1.0000
CXCL11,ACKR1,0,0,0.0000
CXCL11,ACKR3,1,1,0.9889
CXCL11,ADRA2A,0,0,0.0000
CXCL11,CCR3,0,0,0.0000
CXCL11,CXCR3,0,0,0.0000
CXCL11,GRM7,0,0,0.0000
CXCL12,ACKR3,0,0,0.0000
CXCL12,ADRA2A,0,0,0.0000
CXCL12,CCR4,0,0,0.5570
CXCL12,CD4,1,1,1.0000
CXCL12,CXCR3,0,0,0.0000
CXCL12,CXCR4,0,0,0.0000
CXCL12,GRM7,0,0,0.0000
CXCL12,ITGB1,0,1,0.9999
CXCL12,MTNR1A,0,0,0.0000
CXCL13,ACKR4,0,0,0.0000
CXCL13,ADRA2A,0,0,0.0000
CXCL13,CCR10,0,0,0.0000
CXCL13,CXCR3,0,0,0.0000
CXCL13,GRM7,0,0,0.0000
CXCL13,OPRD1,0,0,0.0000
CXCL16,CXCR6,1,1,0.9928
CXCL1,ACKR1,0,0,0.0000
CXCL1,CXCR2,0,0,0.0000
CXCL1,ACKR1,0,0,0.0000
CXCL1,GRM7,0,0,0.3899
CXCL1,MTNR1A,0,0,0.0000
CXCL2,CXCR1,0,0,0.0000
CXCL2,CXCR2,1,1,1.0000
CXCL2,GRM7,0,0,0.0842
CXCL2,MTNR1A,0,0,0.0000
CXCL2,XCR1,0,0,0.0272
DCN,EGFR,0,0,0.0000
DCN,ERBB4,0,1,0.9244
DKK1,KREMEN1,1,1,1.0000
DKK1,LRP5,0,0,0.0000
DLL1,NOTCH1,0,0,0.0000
DLL1,NOTCH4,0,0,0.0000
DLL4,NOTCH4,1,1,0.9999
DSCAM,DCC,1,1,0.9837
DUSP18,CD151,1,1,1.0000
DUSP18,ITGA1,0,0,0.4508
DUSP18,ITGA6,0,0,0.0378
DUSP18,ITGB1,0,0,0.0000
DUSP18,ITGB4,0,0,0.0000
DUSP18,RPSA,0,0,0.0000
EBI3,IL6ST,0,0,0.0119
EDN1,KEL,0,0,0.0000
EDN2,KEL,0,0,0.0000
EFNA1,EPHA1,0,0,0.0000
EFNA1,EPHA3,0,0,0.0000
EFNA1,EPHA4,0,0,0.0000
EFNA1,EPHA7,0,0,0.0000
EFNA1,EPHB6,0,0,0.0000
EFNA2,EPHA1,1,1,0.9996
EFNA2,EPHA10,0,0,0.0000
EFNA2,EPHA3,0,0,0.0000
EFNA2,EPHA6,0,1,0.9818
EFNA2,EPHA7,0,0,0.0000
EFNA3,EPHA10,0,0,0.0000
EFNA3,EPHA2,0,0,0.0000
EFNA3,EPHA4,0,0,0.0000
EFNA3,EPHA7,0,0,0.0000
EFNA3,EPHA8,0,0,0.0000
EFNA3,EPHB6,1,1,1.0000
EFNA4,EPHA1,0,0,0.0000
EFNA4,EPHA10,1,1,1.0000
EFNA4,EPHA3,0,0,0.0000
EFNA4,EPHA4,0,0,0.0000
EFNA4,EPHA6,0,0,0.0000
EFNA4,EPHA8,0,0,0.0000
EFNA5,EPHA10,0,0,0.0000
EFNA5,EPHA2,1,1,1.0000
EFNA5,EPHA4,0,0,0.0000
EFNA5,EPHB2,0,0,0.0035
EFNA5,EPHB6,0,0,0.0000
EFNB1,EPHA6,1,1,1.0000
EFNB1,EPHB6,0,0,0.0000
EFNB1,ERBB2,0,0,0.0000
EFNB2,EPHA6,0,0,0.0000
EFNB2,EPHB2,0,0,0.0000
EFNB3,EPHB2,0,0,0.0000
EGFL8,NCR3,1,1,0.9133
EGF,CAV1,0,0,0.0000
EGF,ERBB2,0,0,0.0000
EGF,ERBB3,1,1,0.9989
EGF,LDLR,0,0,0.0000
EGF,LRP2,0,0,0.1363
EPO,EPOR,1,0,0.8831
F10,ITGAM,0,0,0.1504
F2,F2R,1,1,1.0000
F2,F2RL1,0,0,0.0000
F2,GP9,0,0,0.0000
F2,ITGA2B,0,0,0.0000
F2,THBD,0,0,0.0000
F8,ASGR2,1,1,1.0000
F8,LRP1,0,0,0.0000
FABP5,RXRA,1,0,0.3903
FARP2,PLXNA1,1,1,0.9999
FARP2,PLXNA3,0,0,0.6910
FASLG,FAS,1,1,0.9997
FASLG,TNFRSF6B,0,0,0.0235
FAT4,DCHS1,1,1,0.9322
FBN1,ITGAV,0,0,0.0000
FBN1,ITGB3,0,0,0.0000
FBN1,ITGB6,1,1,1.0000
FGA,ITGA2B,0,0,0.0000
FGA,ITGA5,0,0,0.7449
FGA,ITGAM,0,0,0.2042
FGA,ITGB2,0,0,0.7449
FGA,ITGB3,0,0,0.0000
FGF10,FGFR2,1,1,1.0000
FGF11,FGFR1,0,0,0.0000
FGF11,FGFR2,0,0,0.1026
FGF11,FGFR3,1,1,1.0000
FGF12,FGFR4,1,1,0.9913
FGF13,FGFR1,0,0,0.0173
FGF13,FGFR2,0,0,0.0000
FGF19,FGFR1,0,0,0.0000
FGF19,FGFR2,0,0,0.0000
FGF19,FGFR4,0,0,0.0000
FGF1,EGFR,0,0,0.0000
FGF1,FGFR1,0,0,0.0000
FGF1,FGFR2,1,0,0.0828
FGF1,FGFR4,1,0,0.0000
FGF20,FGFR1,0,0,0.0000
FGF20,FGFR3,0,0,0.0000
FGF23,FGFR1,0,0,0.0000
FGF2,FGFR2,0,0,0.0000
FGF2,FGFR3,0,0,0.8072
FGF2,FGFR4,0,0,0.0000
FGF2,FGFRL1,0,0,0.8075
FGF2,GPC4,1,1,0.9999
FGF4,FGFR1,0,0,0.0000
FGF4,FGFR3,0,0,0.8343
FGF4,NRP1,1,1,0.9996
FN1,C5AR1,0,0,0.0000
FN1,CD44,0,0,0.0000
FN1,CD79A,0,0,0.0000
FN1,ITGA2,0,0,0.0000
FN1,ITGA5,0,0,0.0000
FN1,ITGA6,0,0,0.6588
FN1,ITGA8,0,0,0.0000
FN1,ITGA9,0,0,0.0000
FN1,ITGB3,0,0,0.0452
FN1,MAG,0,0,0.0000
FN1,SDC2,0,0,0.0000
FN1,TMPRSS6,1,1,0.9996
FN1,TNFRSF11B,0,0,0.0000
FN1,TSHR,0,0,0.0000
FSHB,ADRB2,0,0,0.0000
FSHB,ADRB3,0,0,0.0000
FSHB,GPR20,1,1,1.0000
FSHB,GPR84,0,0,0.0000
FSHB,RAMP3,0,0,0.0000
FSHB,TSHR,0,0,0.0000
FSHB,VIPR1,0,0,0.2031
FST,BMPR1B,0,0,0.1843
FST,HFE2,1,1,0.9986
GAD1,GRM4,1,1,0.9508
GALP,GALR1,1,1,0.9891
GAL,ADRA2A,0,0,0.8582
GAL,GALR1,1,0,0.0409
GAL,GALR2,1,1,0.9514
GAL,GRM7,0,0,0.0147
GAL,MTNR1A,0,0,0.0000
GAS6,MERTK,1,1,0.9976
GCG,ADCYAP1R1,0,0,0.0000
GCG,ADRB2,0,0,0.0000
GCG,ADRB3,0,0,0.0000
GCG,GPR20,0,0,0.7991
GCG,RAMP2,0,0,0.0000
GCG,RAMP3,0,0,0.0842
GCG,VIPR1,0,0,0.1651
GDF1,SMAD3,1,1,0.9998
GDF2,ACVR2A,0,0,0.0000
GDF2,ENG,0,0,0.0000
GDF5,ACVR1,0,0,0.0087
GDF5,ACVR2A,0,0,0.0136
GDF5,BMPR1A,0,0,0.3968
GDF9,ACVR2A,0,0,0.0000
GDF9,BMPR1A,0,0,0.0034
GDF9,BMPR2,0,0,0.0000
GDF9,FXYD6,1,1,0.9999
GDF9,TGFBR1,0,0,0.0001
GDNF,GFRA1,0,0,0.0000
GDNF,GFRA2,1,1,0.9994
GDNF,RET,0,0,0.0000
GHRH,ADCYAP1R1,0,0,0.0000
GHRH,GPR20,0,0,0.0000
GHRH,TSHR,0,0,0.7025
GIP,ADRB2,0,0,0.0000
GIP,ADRB3,0,0,0.0000
GIP,DPP4,1,1,1.0000
GIP,GPR20,0,0,0.0000
GIP,GPR84,0,0,0.0000
GIP,PTH1R,0,0,0.0000
GIP,RAMP2,0,0,0.0000
GIP,RAMP3,0,0,0.0000
GIP,TSHR,0,0,0.8439
GIP,VIPR1,0,0,0.0000
GNAI2,ADRA2A,0,0,0.0000
GNAI2,CAV1,0,0,0.0000
GNAI2,CCR5,0,0,0.1470
GNAI2,CXCR1,0,0,0.0003
GNAI2,EDNRA,0,0,0.0000
GNAI2,F2R,0,0,0.0000
GNAI2,FPR1,0,0,0.0000
GNAI2,IGF1R,0,0,0.0000
GNAI2,S1PR1,0,0,0.0000
GNAI2,TSHR,0,0,0.0000
GNAS,AVPR2,0,0,0.0057
GNAS,LHCGR,0,0,0.0810
GNAS,TSHR,0,0,0.0000
GNAS,VIPR1,1,1,0.9891
GNB3,GABBR2,1,1,0.9999
GNRH1,GNRHR,1,0,0.6392
GNRH2,GNRHR,0,0,0.1628
GPC3,LRP2,0,0,0.0632
GREM1,KDR,1,0,0.5823
GRP,BRS3,1,1,0.9237
GRP,GRPR,0,0,0.6272
GRP,NMBR,0,0,0.6553
GZMB,IGF2R,1,1,0.9994
HAS2,HMMR,1,1,0.9996
HBEGF,CD44,0,0,0.2775
HBEGF,ERBB2,0,0,0.0000
HCRT,HCRTR1,1,1,0.9991
HEBP1,GRM7,0,0,0.4847
HEBP1,MTNR1A,0,0,0.0000
HGF,ITGB1,0,0,0.0000
HGF,MET,0,0,0.0000
HGF,SDC1,1,1,0.9976
HGF,SDC2,0,0,0.0000
HGF,ST14,0,0,0.0000
HLA-A,APLP2,1,1,0.9994
HLA-A,CD3D,0,0,0.0000
HLA-A,ERBB2,0,0,0.0000
HLA-A,KIR3DL1,0,0,0.0000
HLA-B,CANX,1,1,0.9730
HLA-B,CD3D,0,0,0.0000
HLA-B,KIR3DL1,0,0,0.0000
HLA-B,LILRB2,0,0,0.0000
HLA-C,KIR3DL1,0,0,0.0000
HLA-C,LILRB2,0,0,0.0000
HLA-E,KLRC2,0,0,0.0000
HLA-G,KIR2DL4,1,1,0.9996
HLA-G,KLRC1,0,1,0.9043
HMGB1,TLR4,0,0,0.0000
HPX,LRP1,0,0,0.1984
HP,ASGR1,1,1,1.0000
HP,ASGR2,0,0,0.0000
HP,ITGAM,0,0,0.0000
HRAS,CAV1,0,0,0.5647
HRAS,GRIN2D,0,0,0.0000
HRAS,INSR,0,0,0.0000
HRAS,SDC2,0,0,0.0000
HSP90AA1,EGFR,0,0,0.0000
HSP90AA1,ERBB2,0,0,0.0000
HSP90B1,ERBB2,0,0,0.0000
HSP90B1,TLR7,0,0,0.0000
HSPA1A,TLR4,0,0,0.0000
HSPG2,ITGB1,0,0,0.0000
HSPG2,LRP2,0,0,0.0000
IAPP,ADCYAP1R1,0,0,0.0000
IAPP,ADRB3,0,0,0.0000
IAPP,GPR20,0,0,0.0759
IAPP,GPR84,0,0,0.0000
IAPP,RAMP3,0,0,0.8162
IAPP,TSHR,0,0,0.0329
IAPP,VIPR1,0,0,0.0221
ICAM1,CAV1,0,0,0.0000
ICAM1,EGFR,0,0,0.0000
ICAM1,IL2RG,0,0,0.7663
ICAM1,ITGAL,0,0,0.0056
ICAM2,ITGB2,0,0,0.0000
ICAM4,ITGA2B,0,0,0.0000
ICAM4,ITGAL,0,0,0.1349
ICAM4,ITGAM,0,0,0.8705
ICAM4,ITGAV,0,0,0.0000
ICAM4,ITGB1,0,0,0.0000
ICAM4,ITGB2,0,0,0.0835
ICAM4,ITGB3,0,0,0.0000
ICAM4,RHAG,1,1,0.9973
ICOSLG,ICOS,1,1,0.9004
IFNA14,IFNAR1,0,0,0.0000
IFNA2,IFNAR1,0,0,0.2584
IFNA2,IFNAR2,0,0,0.0000
IFNA5,IFNAR1,0,0,0.0000
IFNA5,IFNAR2,0,0,0.0000
IFNA6,IFNAR2,0,0,0.0000
IFNB1,IFNAR1,0,0,0.0000
IFNG,IFNGR1,1,1,0.9548
IGF1,INSR,0,0,0.7278
IGFBP4,LRP6,0,0,0.2130
IHH,BOC,0,0,0.6748
IHH,CDON,0,0,0.3342
IL10,IL10RA,0,0,0.0866
IL12A,IL12RB1,0,0,0.0000
IL12A,IL12RB2,0,0,0.0000
IL13,IL13RA1,0,0,0.0000
IL13,IL13RA2,0,0,0.7897
IL15,IL2RA,0,0,0.1742
IL17A,IL17RA,0,0,0.0000
IL17B,IL17RB,0,0,0.1249
IL17C,IL17RE,0,0,0.1868
IL17F,IL17RA,0,0,0.0000
IL18,CD48,0,0,0.3992
IL18,IL1RL2,0,0,0.0000
IL19,IL20RB,0,0,0.0000
IL1A,IL1R1,0,0,0.0000
IL1B,ADRB2,0,0,0.0000
IL1B,IL1R2,0,0,0.0000
IL21,IL2RG,0,0,0.0000
IL22,IL21R,0,1,0.9971
IL22,IL22RA1,0,0,0.4714
IL23A,IL12RB1,0,0,0.1550
IL23A,IL12RB2,0,0,0.0882
IL2,IL2RA,0,0,0.0000
IL31,IL31RA,0,0,0.0000
IL33,IL1RL1,0,0,0.0468
IL36B,IL1RL2,0,0,0.0000
IL36B,IL36RN,0,0,0.5190
IL4,IL13RA2,0,0,0.0000
IL5,IL5RA,0,0,0.0000
IL7,IL2RG,0,0,0.8295
IL7,IL7R,0,0,0.0000
IL8,CD79A,0,0,0.0000
IL8,CXCR1,0,0,0.0000
IL8,CXCR2,0,0,0.0000
IL8,ACKR1,0,0,0.0000
IL8,SDC2,0,0,0.0000
IL9,IL2RG,0,0,0.7382
INHBA,ACVR1,0,0,0.0080
INHBA,ACVR1B,0,0,0.0000
INHBA,ACVR2A,0,0,0.0000
INHBA,BAMBI,0,0,0.0090
INHBA,ENG,0,0,0.0578
INHBA,SMAD3,0,0,0.0006
INHBB,ACVR1,0,0,0.6179
INHBB,ACVR1B,0,0,0.1162
INHBB,ACVR1C,0,0,0.0000
INHBB,ACVR2A,0,1,0.9584
INHBB,ACVR2B,0,0,0.0000
INSL3,ADCYAP1R1,0,0,0.0000
INSL3,ADRB2,0,0,0.0000
INSL3,GPR20,0,0,0.0000
INSL3,RAMP2,0,0,0.0000
INSL3,RXFP2,0,0,0.2872
INSL3,VIPR1,0,0,0.0000
INSL5,ADRA2A,0,0,0.0412
INSL5,MTNR1A,0,0,0.0000
INSL5,RXFP3,0,0,0.0000
INSL5,RXFP4,0,0,0.0000
IRAK4,TLR6,0,0,0.4088
ITGB3BP,ITGB5,0,1,0.9636
JAG1,NOTCH3,0,0,0.0755
KITLG,EPOR,0,0,0.2341
KNG1,CD93,0,0,0.0000
KNG1,GP1BA,0,0,0.0000
KNG1,GPR135,0,0,0.0519
KNG1,ITGB2,0,1,0.9972
KNG1,MTNR1A,0,0,0.0000
KNG1,PLAUR,0,0,0.0000
KNG1,RXFP4,0,0,0.1119
KRTAP4-12,AQP1,0,0,0.0000
KRTAP4-12,CATSPER1,0,0,0.1400
KRTAP4-12,PLSCR4,0,0,0.0000
L1CAM,CNTN1,0,0,0.0000
L1CAM,EPHB2,0,0,0.2131
L1CAM,ERBB2,0,0,0.3339
L1CAM,FGFR2,0,0,0.0000
L1CAM,ITGA5,0,0,0.0677
LAMA1,ITGA1,0,0,0.0000
LAMA1,ITGA2,0,0,0.0000
LAMA1,ITGA6,0,0,0.6369
LAMA1,ITGB1,0,0,0.0000
LAMA1,ITGB4,0,0,0.0000
LAMA1,RPSA,0,0,0.0000
LAMA1,SDC2,0,0,0.0000
LAMA2,ITGA1,0,0,0.0000
LAMA2,ITGA2,0,0,0.0000
LAMA2,ITGA6,0,0,0.0108
LAMA2,RPSA,0,0,0.0000
LAMA5,ITGA3,0,0,0.6074
LAMB2,ITGB1,0,0,0.0000
LAMB2,RPSA,0,0,0.8624
LAMB3,ITGA2,0,0,0.0000
LAMB3,ITGB4,0,0,0.0000
LCN1,LMBR1L,0,0,0.0000
LGALS9,HAVCR2,0,0,0.8589
LIF,IL6ST,0,0,0.0091
LIN7C,ABCA1,0,0,0.0000
