ligand,receptor,truelabel,pred
ANXA1,GRM7,0,0,0.5045
ANXA1,MTNR1A,0,0,0.3323
APLN,ADRA2A,0,0,0.1824
APLN,APLNR,1,0,0.0177
APLN,GRM7,0,0,0.5409
APLN,MTNR1A,0,0,0.5001
APOA1,LDLR,1,1,0.9446
APOA1,LRP1,0,0,0.7253
APOA1,LRP2,0,0,0.7582
APOB,ADRB2,0,0,0.5233
APOB,CALCR,0,0,0.2299
APOB,ITGAM,0,0,0.6297
APOB,ITGB2,0,0,0.4020
APOB,LDLR,0,0,0.5651
APOB,LRP1,0,0,0.5117
APOB,LRP2,0,0,0.5609
APOB,LRP6,0,0,0.4318
APOB,LRP8,0,0,0.4318
APOB,OLR1,0,0,0.4868
APOB,TLR4,0,0,0.3784
APOB,TLR6,1,1,0.9757
APOB,VLDLR,0,0,0.5631
APOC1,VLDLR,1,0,0.0025
APOC3,LDLR,0,0,0.2723
APOC3,LRP1,0,0,0.0491
APOC3,LRP2,0,0,0.3176
APOC3,SDC2,1,0,0.0490
APOC3,TLR2,0,0,0.6871
APOD,LEPR,1,1,0.9703
APOE,CHRNA4,1,1,0.9336
APOE,LDLR,0,0,0.5515
APOE,LRP1,0,0,0.5043
APOE,LRP2,0,0,0.4498
APOE,LRP5,0,0,0.1909
APOE,LRP8,0,0,0.5914
APOE,SCARB1,0,0,0.7558
APOE,VLDLR,0,0,0.6422
APP,ADRA2A,0,0,0.2324
APP,CAV1,0,0,0.4152
APP,FPR2,0,0,0.5129
APP,GPC1,0,0,0.2992
APP,GRM7,0,0,0.2471
APP,LRP1,0,0,0.4040
APP,MTNR1A,0,0,0.4844
APP,NCSTN,0,0,0.3856
APP,NGFR,0,0,0.4408
APP,TNFRSF21,1,1,0.9455
AREG,EGFR,1,1,0.9668
AREG,ERBB3,0,0,0.4172
ARF1,CHRM3,1,1,0.9720
ARF1,INSR,0,0,0.4748
ARF1,PLD2,0,0,0.4548
ARTN,GFRA1,1,0,0.0000
ARTN,GFRA2,0,0,0.3554
ARTN,GFRA3,0,0,0.8162
ARTN,RET,0,0,0.8084
ASIP,ATRN,1,1,0.9285
ASIP,F11R,0,0,0.1084
ASIP,MC1R,0,0,0.4692
ASIP,MC3R,0,0,0.4598
AVP,ADCYAP1R1,0,0,0.1689
AVP,ADRB2,0,0,0.3863
AVP,ADRB3,0,0,0.4396
AVP,AVPR1A,0,0,0.1130
AVP,AVPR2,0,0,0.1210
AVP,GPR20,0,0,0.4305
AVP,GPR84,0,0,0.2162
AVP,LDLR,0,0,0.2381
AVP,LRP2,0,0,0.3117
AVP,PTH1R,0,0,0.2315
AVP,RAMP2,0,0,0.4119
AVP,RAMP3,1,1,0.9749
AVP,TSHR,0,0,0.4735
AVP,VIPR1,0,0,0.4387
B2M,CD1B,0,0,0.5895
B2M,CD247,0,0,0.1767
B2M,CD3D,0,0,0.4320
B2M,HLA-F,0,0,0.4627
B2M,KIR3DL1,1,0,0.0060
B2M,KLRC1,0,0,0.1858
B2M,KLRC2,0,0,0.3110
B2M,LILRB2,0,0,0.1108
B2M,TFRC,0,0,0.5897
BCAN,EGFR,0,0,0.5969
BCAN,NRCAM,1,1,0.9275
BDNF,DDR1,1,1,0.9609
BDNF,NGFR,0,0,0.6397
BDNF,NGFRAP1,0,0,0.2445
BDNF,SORT1,0,0,0.4724
BGN,LY96,1,1,0.9566
BGN,TLR1,0,0,0.2789
BGN,TLR2,0,0,0.3468
BGN,TLR4,0,0,0.5555
BMP10,ACVR2A,1,0,0.0000
BMP10,ACVRL1,0,0,0.2215
BMP10,BMPR1A,0,0,0.0792
BMP10,BMPR1B,0,0,0.1037
BMP10,BMPR2,0,0,0.4668
BMP10,ENG,0,0,0.5474
BMP15,BMPR1A,1,0,0.0089
BMP15,BMPR1B,0,0,0.1781
BMP15,BMPR2,0,0,0.4758
BMP2,ACVR1,0,0,0.4699
BMP2,ACVR2B,1,1,0.9429
BMP2,BMPR1A,0,0,0.5308
BMP2,BMPR1B,0,0,0.2712
BMP2,BMPR2,0,0,0.2062
BMP2,ENG,0,0,0.5807
BMP2,HFE2,0,0,0.6904
BMP4,BMPR1A,0,0,0.5502
BMP4,BMPR1B,1,0,0.0691
BMP4,BMPR2,0,0,0.1891
BMP4,HFE2,0,0,0.5942
BMP5,BMPR1A,0,0,0.0749
BMP5,BMPR1B,0,0,0.3234
BMP5,BMPR2,1,1,0.9124
BMP5,HFE2,0,0,0.2021
BMP7,ACVR1,0,0,0.2966
BMP7,ACVR2A,0,0,0.3989
BMP7,ACVR2B,0,0,0.5456
BMP7,BMPR1A,0,0,0.6225
BMP7,BMPR1B,0,0,0.4238
BMP7,BMPR2,0,0,0.2925
BMP7,ENG,1,1,0.9598
BST1,CAV1,1,0,0.0130
BTC,EGFR,0,0,0.3475
BTC,ERBB2,1,0,0.0220
BTC,ERBB3,0,0,0.4308
BTC,ERBB4,0,0,0.1913
BTLA,CD247,1,1,0.9881
BTLA,CD79A,0,0,0.4518
BTLA,TNFRSF14,0,0,0.3453
C1QA,CD93,1,1,0.9224
C1QA,CR1,0,0,0.4514
C1QTNF1,AVPR2,1,0,0.0273
C1QTNF5,MFRP,1,0,0.2671
C1orf112,PLSCR4,1,0,0.8432
C3,ADRA2A,0,0,0.1230
C3,C3AR1,0,0,0.2357
C3,C5AR2,0,0,0.5872
C3,CD46,0,0,0.1557
C3,CD81,0,0,0.2083
C3,CR1,0,0,0.4082
C3,GRM7,0,0,0.5583
C3,ITGAM,1,0,0.0040
C3,ITGB2,0,0,0.6226
C3,LRP1,0,0,0.2947
C3,MTNR1A,0,0,0.3819
C4A,C3AR1,1,1,0.9204
C4A,C5AR2,0,0,0.5161
C4A,CR1,0,0,0.2509
C4BPA,BMPR2,0,0,0.2655
C4BPA,CD40,1,0,0.0152
C4BPA,LRP1,0,0,0.4084
C4B,CD46,1,0,0.0798
C4B,CR1,0,0,0.4597
C5,ADRA2A,0,0,0.4051
C5,C5AR1,1,1,0.9667
C5,C5AR2,0,0,0.2158
C5,GRM7,0,0,0.4289
C5,MTNR1A,0,0,0.3196
CALCA,ADCYAP1R1,1,0,0.0191
CALCA,ADRB2,0,0,0.4001
CALCA,ADRB3,0,0,0.1101
CALCA,CALCR,0,0,0.1161
CALCA,GPR20,0,0,0.1675
CALCA,GPR84,0,0,0.0790
CALCA,PTH1R,0,0,0.2559
CALCA,RAMP2,0,0,0.6500
CALCA,RAMP3,0,0,0.6099
CALCA,TSHR,0,0,0.2204
CALCA,VIPR1,0,0,0.5380
CALCB,ADCYAP1R1,0,0,0.4732
CALCB,ADRB2,0,0,0.1134
CALCB,ADRB3,1,0,0.0300
CALCB,CALCR,0,0,0.5163
CALCB,GPR20,0,0,0.4993
CALCB,GPR84,0,0,0.5797
CALCB,PTH1R,0,0,0.6619
CALCB,RAMP2,0,0,0.3501
CALCB,RAMP3,0,0,0.2248
CALCB,TSHR,0,0,0.4484
CALCB,VIPR1,0,0,0.8874
CALM1,ABCA1,0,0,0.8146
CALM1,ADCYAP1R1,0,0,0.7791
CALM1,CACNA1C,1,0,0.0000
CALM1,CALCR,0,0,0.5996
CALM1,CRHR1,0,0,0.1041
CALM1,EGFR,0,0,0.5814
CALM1,FAS,0,0,0.8451
CALM1,GP6,0,0,0.6108
CALM1,GRM3,0,0,0.7208
CALM1,GRM4,0,0,0.4133
CALM1,GRM5,0,0,0.5941
CALM1,GRM7,0,0,0.3998
CALM1,HMMR,0,0,0.2379
CALM1,INSR,0,0,0.2038
CALM1,MYLK,0,0,0.5105
CALM1,PDE1C,0,0,0.3828
CALM1,PTH2R,0,0,0.6394
CALM1,PTPRA,0,0,0.7689
CALM1,SCN10A,0,0,0.7178
CALM1,SCTR,0,0,0.4496
CALM1,SELL,0,0,0.7271
CALM1,VIPR1,0,0,0.7633
CALM2,ABCA1,0,0,0.6716
CALM2,CACNA1C,0,0,0.2865
CALM2,EGFR,0,0,0.5566
CALM2,GP6,1,1,0.9280
CALM2,GRM5,0,0,0.4780
CALM2,GRM7,0,0,0.5274
CALM2,INSR,0,0,0.4251
CALM2,MYLK,0,0,0.6970
CALM2,PDE1C,0,0,0.1981
CALM2,SCN10A,0,0,0.8226
CALM2,SELL,0,0,0.6893
CALM3,ABCA1,0,0,0.3597
CALM3,EGFR,0,0,0.1748
CALM3,GP6,0,0,0.4534
CALM3,GRM5,1,1,0.9378
CALM3,GRM7,0,0,0.6610
CALM3,INSR,0,0,0.3230
CALM3,MYLK,0,0,0.4648
CALM3,PDE1C,0,0,0.0337
CALM3,SCN10A,0,0,0.4776
CALM3,SELL,0,0,0.4582
CALR,HLA-F,0,0,0.6853
CALR,ITGA2B,1,1,0.9059
CALR,ITGA3,0,0,0.6549
CALR,ITGAV,0,0,0.2212
CALR,LRP1,0,0,0.6184
CALR,MTNR1A,0,0,0.3687
CALR,TSHR,0,0,0.3947
CAMP,EGFR,0,0,0.6433
CAMP,FPR2,1,1,0.9529
CAMP,IGF1R,0,0,0.0219
CCK,CCKAR,1,0,0.0080
CCK,CCKBR,0,0,0.8517
CCL11,ACKR1,1,0,0.0000
CCL11,ACKR2,0,0,0.0174
CCL11,ACKR4,0,0,0.3108
CCL11,CCR2,0,0,0.4953
CCL11,CCR3,0,0,0.8487
CCL11,CCR5,0,0,0.1104
CCL11,CXCR3,0,0,0.5761
CCL13,ACKR1,0,0,0.3917
CCL13,ACKR2,1,0,0.0172
CCL13,ACKR4,0,0,0.6087
CCL13,CCR1,0,0,0.4608
CCL13,CCR2,0,0,0.4420
CCL13,CCR3,0,0,0.4824
CCL13,CCR5,0,0,0.3351
CCL13,CXCR3,0,0,0.5910
CCL14,ACKR1,0,0,0.6023
CCL14,ACKR2,0,0,0.5735
CCL14,CCR1,1,0,0.0019
CCL14,CCR3,0,0,0.3112
CCL14,CCR5,0,0,0.6150
CCL15,CCR1,0,0,0.1164
CCL15,CCR3,1,1,0.9975
CCL16,ADRA2A,0,0,0.1611
CCL16,CCR1,0,0,0.3900
CCL16,CCR2,1,0,0.0722
CCL16,CCR5,0,0,0.4668
CCL16,CCR8,0,0,0.2552
CCL16,GRM7,0,0,0.3251
CCL16,MTNR1A,0,0,0.6313
CCL17,ACKR1,0,0,0.3149
CCL17,ACKR2,0,0,0.6459
CCL17,CCR4,1,0,0.0126
CCL17,CCR8,0,0,0.3183
CCL17,ACKR1,0,0,0.3149
CCL18,C14orf1,1,1,0.9251
CCL19,ACKR2,0,0,0.6101
CCL19,ACKR4,1,0,0.8712
CCL19,ADRA2A,0,0,0.1897
CCL19,CCR10,0,0,0.3373
CCL19,CCR7,0,0,0.5524
CCL19,CCRL2,0,0,0.5550
CCL19,CXCR3,0,0,0.3605
CCL19,GRM7,0,0,0.4179
CCL19,MTNR1A,0,0,0.6130
CCL1,CCR8,1,1,0.9003
CCL20,ADRA2A,0,0,0.0171
CCL20,CCR6,1,0,0.0343
CCL20,CXCR3,0,0,0.1617
CCL20,GRM7,0,0,0.6566
CCL20,MTNR1A,0,0,0.5179
CCL21,ACKR2,0,0,0.7079
CCL21,ACKR4,0,0,0.4497
CCL21,ADRA2A,0,0,0.3385
CCL21,CCR7,1,0,0.0325
CCL21,GRM7,0,0,0.7361
CCL21,MTNR1A,0,0,0.1603
CCL23,ACKR2,0,0,0.5460
CCL23,ADRA2A,0,0,0.1134
CCL23,CCR1,0,0,0.0437
CCL23,GRM7,1,1,0.9681
CCL23,MTNR1A,0,0,0.3004
CCL25,ACKR2,0,0,0.6285
CCL25,ACKR4,0,0,0.8010
CCL25,ADRA2A,0,0,0.1864
CCL25,CCR10,1,0,0.0279
CCL25,GRM7,0,0,0.3405
CCL25,MTNR1A,0,0,0.3211
CCL2,ACKR1,0,0,0.5336
CCL2,ACKR2,0,0,0.7073
CCL2,ACKR4,0,0,0.4666
CCL2,CCR1,0,0,0.3068
CCL2,CCR10,0,0,0.4705
CCL2,CCR2,0,0,0.4426
CCL2,CCR3,0,0,0.2353
CCL2,CCR4,0,0,0.1715
CCL2,CCR5,1,1,0.9464
CCL2,ACKR1,0,0,0.5336
CCL5,ACKR1,0,0,0.1471
CCL5,ACKR2,0,0,0.0722
CCL5,ACKR4,0,0,0.1899
CCL5,ADRA2A,0,0,0.4353
CCL5,CCR1,0,0,0.6055
CCL5,CCR3,0,0,0.4303
CCL5,CCR4,0,0,0.2108
CCL5,CCR5,0,0,0.3374
CCL5,CXCR3,1,1,0.9969
CCL5,ACKR1,0,0,0.1471
CCL5,GRM7,0,0,0.2621
CCL5,MTNR1A,0,0,0.2521
CCL5,SDC1,0,0,0.3241
CCL5,SDC4,0,0,0.4169
CD14,ITGA4,0,0,0.1574
CD14,ITGB1,0,0,0.2546
CD14,ITGB2,0,0,0.5011
CD14,RIPK1,1,0,0.0000
CD14,TLR4,0,0,0.0077
CD14,TLR6,0,0,0.3013
CD24,SELP,1,0,0.8519
CD274,PDCD1,1,1,0.9591
CD34,SELL,1,0,0.0000
CD34,SELP,0,0,0.0537
CD36,TLR4,1,0,0.0022
CD36,TLR6,0,0,0.6134
CD40LG,CD40,0,0,0.2673
CD40LG,ITGAM,0,0,0.7349
CD40LG,ITGB2,0,0,0.3208
CD40LG,TRAF3,1,0,0.0160
CD48,CD2,1,1,0.9475
CD55,ADGRE5,1,0,0.0071
CD55,CR1,0,0,0.3580
CD5L,CD5,1,0,0.0094
CD70,CD27,1,0,0.0099
CD80,CD28,1,0,0.0002
CD80,CTLA4,0,0,0.3172
CD86,CD28,0,0,0.5203
CD86,CTLA4,1,0,0.8970
CDH1,CDH2,0,0,0.4388
CDH1,EGFR,0,0,0.7209
CDH1,ERBB3,0,0,0.7554
CDH1,IGF1R,0,0,0.6559
CDH1,ITGB7,0,0,0.6495
CDH1,LRP5,0,0,0.3234
CDH1,PTPRF,0,0,0.6057
CDH1,PTPRM,1,1,0.9135
CELA3B,CHRM3,0,0,0.6690
CEL,CXCR4,1,0,0.8740
CFC1,ACVR1B,1,0,0.0184
CFC1,ACVR2A,0,0,0.3834
CFC1,SMAD3,0,0,0.7874
CGA,ADCYAP1R1,0,0,0.6571
CGA,ADRB2,0,0,0.1920
CGA,ADRB3,0,0,0.3714
CGA,FSHR,1,0,0.0000
CGA,GPR20,0,0,0.7477
CGA,GPR84,0,0,0.7843
CGA,LHCGR,0,0,0.2266
CGA,PTH1R,0,0,0.6065
CGA,RAMP2,0,0,0.2214
CGA,RAMP3,0,0,0.2945
CGA,SIRPA,0,0,0.6896
CGA,TSHR,0,0,0.4454
CGA,VIPR1,0,0,0.4974
CGB3,LHCGR,1,1,0.9465
CGB3,SIRPA,0,0,0.5662
CGN,F11R,1,0,0.0209
CGN,TGFBR1,0,0,0.6210
CGN,TGFBR2,0,0,0.1557
CHAD,ITGA2,1,1,0.9407
CHAD,ITGB1,0,0,0.3890
CKLF,CCR4,0,0,0.7794
CLCF1,CNTFR,1,0,0.0449
CLCF1,CRLF1,0,0,0.5932
CLCF1,IL6ST,0,0,0.5539
CLCF1,LIFR,0,0,0.6566
CLEC3A,CLEC10A,1,0,0.0076
CLEC3A,CLEC2B,0,0,0.6828
CNTF,CNTFR,0,0,0.3390
CNTF,IL6R,1,0,0.0230
CNTF,IL6ST,0,0,0.2456
CNTF,LIFR,0,0,0.4884
CNTN2,CNTN1,1,1,0.9465
CNTN2,NRCAM,0,0,0.3940
CNTN2,NRP1,0,0,0.3780
CNTN4,PTPRG,1,1,0.9677
COL14A1,CD44,1,1,0.9378
COL18A1,GPC1,1,1,0.9473
COL18A1,GPC4,0,0,0.2123
COL18A1,ITGA3,0,0,0.3872
COL18A1,ITGA5,0,0,0.3843
COL18A1,ITGB1,0,0,0.0644
COL18A1,ITGB3,0,0,0.5844
COL18A1,ITGB5,0,0,0.3856
COL18A1,KDR,0,0,0.4533
COL1A1,CD36,0,0,0.5375
COL1A1,CD44,0,0,0.6595
COL1A1,CD93,0,0,0.2179
COL1A1,DDR1,0,0,0.6305
COL1A1,DDR2,1,0,0.0526
COL1A1,FLT4,0,0,0.2603
COL1A1,ITGA1,0,0,0.1717
COL1A1,ITGA2,0,0,0.4918
COL1A1,ITGA5,0,0,0.7445
COL1A1,ITGAV,0,0,0.3877
COL1A1,ITGB1,0,0,0.4775
COL1A1,TMPRSS6,0,0,0.4823
COL1A2,CD36,0,0,0.4633
COL1A2,CD44,0,0,0.7633
COL1A2,CD93,0,0,0.4645
COL1A2,FLT4,1,0,0.0065
COL1A2,ITGA1,0,0,0.0881
COL1A2,ITGA2,0,0,0.6633
COL1A2,ITGA2B,0,0,0.8056
COL1A2,ITGAV,0,0,0.2968
COL1A2,ITGB1,0,0,0.2814
COL1A2,ITGB3,0,0,0.7784
COL2A1,DDR1,0,0,0.5052
COL2A1,ITGA1,1,0,0.0006
COL2A1,ITGA2,0,0,0.5387
COL2A1,ITGA2B,0,0,0.7569
COL2A1,ITGB1,0,0,0.2138
COL2A1,MAG,0,0,0.1626
COL2A1,TNFRSF10A,0,0,0.6069
COL3A1,DDR1,0,0,0.3320
COL3A1,DDR2,0,0,0.3711
COL3A1,ITGA2,0,0,0.4943
COL3A1,ITGB1,0,0,0.0794
COL3A1,MAG,1,0,0.0154
COL4A1,CD47,0,0,0.1532
COL4A1,CD93,0,0,0.6165
COL4A1,ITGA1,0,0,0.3162
COL4A1,ITGA2,0,0,0.6707
COL4A1,ITGAV,0,0,0.6593
COL4A1,ITGB1,0,0,0.6752
COL4A1,ITGB8,1,1,0.9489
COL4A2,CD93,0,0,0.5626
COL4A2,ITGB3,0,0,0.3190
COL4A2,ITGB5,1,1,0.9350
COL5A1,ITGA1,0,0,0.7518
COL5A1,ITGB1,0,0,0.6618
COL5A1,SDC3,1,1,0.9870
COL6A1,ITGA1,0,0,0.4462
COL6A1,ITGA2,0,0,0.7426
COL6A1,ITGA6,1,1,0.9455
COL6A1,ITGB1,0,0,0.5987
COLQ,MUSK,1,1,0.9648
CORT,ADRA2A,0,0,0.0000
CORT,GHSR,1,0,0.0000
CORT,GRM7,0,0,0.6679
CORT,MTNR1A,0,0,0.4444
CORT,SSTR1,0,0,0.4797
CPAMD8,SCTR,1,0,0.8083
CP,SLC40A1,1,0,0.0005
CRH,ADCYAP1R1,0,0,0.6497
CRH,ADRB2,0,0,0.1972
CRH,ADRB3,0,0,0.3514
CRH,CRHR1,1,0,0.0132
CRH,CRHR2,0,0,0.6136
CRH,GPR20,0,0,0.7022
CRH,GPR84,0,0,0.8633
CRH,PTH1R,0,0,0.7655
CRH,RAMP2,0,0,0.3087
CRH,RAMP3,0,0,0.1635
CRH,TSHR,0,0,0.0909
CRH,VIPR1,0,0,0.5032
CRP,OLR1,1,0,0.0040
CSF1,CSF1R,1,0,0.0624
CSF2,CSF1R,0,0,0.2561
CSF2,CSF2RA,1,0,0.0932
CSF2,CSF2RB,0,0,0.2811
CSF2,CSF3R,0,0,0.4730
CSF2,ITGA9,0,0,0.3365
CSF2,ITGB1,0,0,0.2963
CSF2,SDC2,0,0,0.2783
CSF3,CSF1R,0,0,0.8046
CSF3,CSF3R,1,0,0.0019
CSH1,PRLR,1,0,0.8548
CSHL1,GHR,1,1,0.9433
CSHL1,PRLR,0,0,0.3254
CTF1,IL6ST,1,1,0.9471
CTF1,LIFR,0,0,0.2677
CTGF,ERBB4,0,0,0.6161
CTGF,ITGA5,0,0,0.7004
CTGF,ITGAM,0,0,0.3309
CTGF,ITGB2,0,0,0.8023
CTGF,LRP1,0,0,0.7874
CTGF,LRP6,1,0,0.0000
CTHRC1,FZD3,1,0,0.0012
CTHRC1,FZD5,0,0,0.6654
CTHRC1,FZD6,0,0,0.1914
CX3CL1,CX3CR1,1,0,0.0243
CXCL10,ADRA2A,0,0,0.1239
CXCL10,CCR3,0,0,0.5748
CXCL10,CXCR3,0,0,0.4716
CXCL10,GRM7,0,0,0.3770
CXCL10,MTNR1A,0,0,0.5559
CXCL10,SDC4,1,1,0.9245
CXCL11,ACKR1,0,0,0.2302
CXCL11,ACKR3,1,1,0.9867
CXCL11,ADRA2A,0,0,0.6196
CXCL11,CCR3,0,0,0.3618
CXCL11,CXCR3,0,0,0.5171
CXCL11,GRM7,0,0,0.4983
CXCL11,MTNR1A,0,0,0.2858
CXCL12,ACKR3,0,0,0.8035
CXCL12,ADRA2A,0,0,0.3308
CXCL12,CCR4,0,0,0.1437
CXCL12,CD4,1,1,0.9259
CXCL12,CXCR3,0,0,0.5079
CXCL12,CXCR4,0,0,0.2436
CXCL12,GRM7,0,0,0.4210
CXCL12,ITGB1,0,0,0.3638
CXCL12,MTNR1A,0,0,0.4188
CXCL12,SDC4,0,0,0.3092
CXCL13,ACKR4,0,0,0.8242
CXCL13,ADRA2A,0,0,0.0590
CXCL13,CCR10,0,0,0.2159
CXCL13,CXCR3,0,0,0.1797
CXCL13,CXCR5,1,0,0.0238
CXCL13,GRM7,0,0,0.2296
CXCL13,HTR2A,0,0,0.3659
CXCL13,MTNR1A,0,0,0.5614
CXCL13,OPRD1,0,0,0.4668
CXCL16,ADRA2A,0,0,0.2340
CXCL16,CXCR6,1,1,0.9862
CXCL16,GRM7,0,0,0.3327
CXCL16,MTNR1A,0,0,0.6104
CXCL1,ACKR1,0,0,0.4809
CXCL1,ADRA2A,0,0,0.3739
CXCL1,CXCR1,1,0,0.0262
CXCL1,CXCR2,0,0,0.5030
CXCL1,ACKR1,0,0,0.4809
CXCL1,GRM7,0,0,0.6995
CXCL1,MTNR1A,0,0,0.3188
CXCL2,ADRA2A,0,0,0.1341
CXCL2,CXCR1,0,0,0.6007
CXCL2,CXCR2,1,1,0.9589
CXCL2,GRM7,0,0,0.3514
CXCL2,MTNR1A,0,0,0.7365
CXCL2,XCR1,0,0,0.6036
DCN,EGFR,0,0,0.5314
DCN,ERBB4,0,0,0.2460
DCN,MET,1,0,0.1810
DHH,BOC,1,0,0.0467
DHH,CDON,0,0,0.3002
DKK1,KREMEN1,1,1,0.9542
DKK1,KREMEN2,0,0,0.2990
DKK1,LRP5,0,0,0.5186
DKK1,LRP6,0,0,0.2405
DKK2,KREMEN2,1,0,0.0106
DKK2,LRP6,0,0,0.1567
DLK2,NOTCH1,1,0,0.0016
DLL1,NOTCH1,0,0,0.5811
DLL1,NOTCH2,1,0,0.0652
DLL1,NOTCH3,0,0,0.4467
DLL1,NOTCH4,0,0,0.6651
DLL4,NOTCH1,0,0,0.5681
DLL4,NOTCH4,1,0,0.8910
DSCAM,DCC,1,1,0.9963
DUSP18,CD151,1,1,0.9060
DUSP18,ITGA1,0,0,0.3673
DUSP18,ITGA2,0,0,0.5958
DUSP18,ITGA3,0,0,0.4590
DUSP18,ITGA6,0,0,0.6754
DUSP18,ITGA7,0,0,0.5658
DUSP18,ITGB1,0,0,0.4196
DUSP18,ITGB4,0,0,0.6598
DUSP18,RPSA,0,0,0.3294
EBI3,IL27RA,1,0,0.0191
EBI3,IL6ST,0,0,0.2932
ECM1,CACHD1,1,0,0.0000
EDA,EDA2R,1,0,0.0371
EDN1,EDNRA,1,0,0.0103
EDN1,EDNRB,0,0,0.6177
EDN1,KEL,0,1,0.9352
EDN2,EDNRA,0,0,0.4540
EDN2,EDNRB,1,0,0.0001
EDN2,KEL,0,0,0.1671
EDN3,EDNRA,0,0,0.8373
EDN3,EDNRB,0,0,0.0089
EDN3,KEL,1,0,0.0011
EFEMP2,AQP1,1,0,0.0033
