ligand,receptor,truelabel,pred
CCL16,ADRA2A,0,0.0933
CCL16,CCR1,0,0.0000
CCL16,CCR2,1,0.9967
CCL16,CCR5,0,0.8887
CCL16,CCR8,0,0.2072
CCL16,GRM7,0,0.0000
CCL16,MTNR1A,0,0.3148
CCL17,ACKR1,0,0.0548
CCL17,ACKR2,0,0.1359
CCL17,CCR4,1,0.9958
CCL17,CCR8,0,0.0000
CCL17,ACKR1,0,0.0548
CCL18,C14orf1,1,0.9984
CCL19,ACKR2,0,0.1526
CCL19,ACKR4,1,0.9884
CCL19,ADRA2A,0,0.3986
CCL19,CCR10,0,0.0761
CCL19,CCR7,0,0.5164
CCL19,CCRL2,0,0.5049
CCL19,CXCR3,0,0.0209
CCL19,GRM7,0,0.2330
CCL19,MTNR1A,0,0.1501
CCL1,CCR8,0,0.2348
CCL20,ADRA2A,0,0.6837
CCL20,CCR6,1,0.9979
CCL20,CXCR3,0,0.1574
CCL20,GRM7,0,0.0503
CCL20,MTNR1A,0,0.1397
CCL21,ACKR2,0,0.6805
CCL21,ACKR4,0,0.5419
CCL21,ADRA2A,0,0.6550
CCL21,CCR7,1,0.9971
CCL21,GRM7,0,0.0418
CCL21,MTNR1A,0,0.1029
CCL23,ACKR2,0,0.1319
CCL23,ADRA2A,0,0.3547
CCL23,CCR1,0,0.3998
CCL23,GRM7,1,0.9712
CCL23,MTNR1A,0,0.1278
CCL25,ACKR2,0,0.2893
CCL25,ACKR4,0,0.1112
CCL25,ADRA2A,0,0.0977
CCL25,CCR10,1,0.9962
CCL25,GRM7,0,0.0751
CCL25,MTNR1A,0,0.2163
CCL2,ACKR1,0,0.7699
CCL2,ACKR2,0,0.3617
CCL2,ACKR4,0,0.0627
CCL2,CCR1,0,0.0277
CCL2,CCR10,1,0.9075
CCL2,CCR2,1,0.9448
CCL2,CCR3,0,0.1857
CCL2,CCR4,0,0.0070
CCL2,CCR5,1,0.9837
CCL2,ACKR1,0,0.7699
CCL5,ACKR1,0,0.6022
CCL5,ACKR2,0,0.2691
CCL5,ACKR4,0,0.0418
CCL5,ADRA2A,0,0.0946
CCL5,CCR1,0,0.0000
CCL5,CCR3,0,0.1433
CCL5,CCR4,0,0.0000
CCL5,CCR5,0,0.7742
CCL5,CXCR3,1,0.9705
CCL5,ACKR1,0,0.6022
CCL5,GRM7,0,0.3432
CCL5,MTNR1A,0,0.1804
CCL5,SDC1,0,0.4312
CCL5,SDC4,0,0.1453
CD14,ITGA4,0,0.7520
CD14,ITGB1,0,0.1922
CD14,ITGB2,0,0.2946
CD14,RIPK1,1,0.9973
CD14,TLR4,0,0.2728
CD14,TLR6,0,0.2310
CD24,SELP,0,0.8219
CD274,PDCD1,1,0.9180
CD34,SELL,1,0.9993
CD34,SELP,0,0.5264
CD36,TLR4,1,0.9992
CD36,TLR6,0,0.3723
CD40LG,CD40,0,0.0374
CD40LG,ITGAM,0,0.0008
CD40LG,ITGB2,0,0.1543
CD40LG,TRAF3,1,0.9994
CD48,CD2,0,0.8934
CD55,ADGRE5,1,0.9973
CD55,CR1,0,0.3076
CD5L,CD5,1,0.9997
CD70,CD27,1,0.9975
CD80,CD28,1,0.9995
CD80,CTLA4,0,0.0070
CD86,CD28,0,0.0101
CD86,CTLA4,1,0.9756
CDH1,CDH2,0,0.3965
CDH1,EGFR,0,0.5376
CDH1,ERBB3,0,0.2132
CDH1,IGF1R,0,0.3843
CDH1,ITGB7,0,0.3850
CDH1,LRP5,0,0.5486
CDH1,PTPRF,0,0.4192
CDH1,PTPRM,1,0.9836
CELA3B,CHRM3,0,0.4096
CEL,CXCR4,1,0.9658
CFC1,ACVR1B,1,0.9944
CFC1,ACVR2A,0,0.1823
CFC1,SMAD3,0,0.4082
CGA,ADCYAP1R1,0,0.3050
CGA,ADRB2,0,0.1027
CGA,ADRB3,0,0.3791
CGA,FSHR,1,0.9993
CGA,GPR20,0,0.2472
CGA,GPR84,0,0.6880
CGA,LHCGR,0,0.4666
CGA,PTH1R,0,0.4209
CGA,RAMP2,0,0.1409
CGA,RAMP3,0,0.5174
CGA,SIRPA,0,0.7008
CGA,TSHR,0,0.0346
CGA,VIPR1,0,0.2370
CGB3,LHCGR,1,0.9528
CGB3,SIRPA,0,0.5977
CGN,F11R,1,0.9998
CGN,TGFBR1,0,0.1055
CGN,TGFBR2,0,0.0047
CHAD,ITGA2,1,0.9862
CHAD,ITGB1,0,0.0555
CKLF,CCR4,0,0.0878
CLCF1,CNTFR,1,0.9990
CLCF1,CRLF1,0,0.1051
CLCF1,IL6ST,0,0.0374
CLCF1,LIFR,0,0.1702
CLEC3A,CLEC10A,1,0.9982
CLEC3A,CLEC2B,0,0.3456
CNTF,CNTFR,0,0.4807
CNTF,IL6R,1,0.9998
CNTF,IL6ST,0,0.0000
CNTF,LIFR,0,0.2217
CNTN2,CNTN1,1,0.9563
CNTN2,NRCAM,0,0.7524
CNTN2,NRP1,0,0.2318
CNTN4,PTPRG,0,0.8925
COL14A1,CD44,1,0.9629
COL18A1,GPC1,1,0.9855
COL18A1,GPC4,0,0.0614
COL18A1,ITGA3,0,0.0514
COL18A1,ITGA5,0,0.0600
COL18A1,ITGB1,0,0.0155
COL18A1,ITGB3,0,0.3093
COL18A1,ITGB5,0,0.7880
COL18A1,KDR,0,0.5936
COL1A1,CD36,0,0.1585
COL1A1,CD44,0,0.6413
COL1A1,CD93,0,0.6962
COL1A1,DDR1,0,0.0176
COL1A1,DDR2,1,0.9994
COL1A1,FLT4,0,0.7442
COL1A1,ITGA1,0,0.3100
COL1A1,ITGA2,0,0.3076
COL1A1,ITGA5,0,0.1633
COL1A1,ITGAV,0,0.4335
COL1A1,ITGB1,0,0.6414
COL1A1,TMPRSS6,0,0.2700
COL1A2,CD36,0,0.2290
COL1A2,CD44,0,0.5440
COL1A2,CD93,0,0.4323
COL1A2,FLT4,1,0.9964
COL1A2,ITGA1,0,0.0214
COL1A2,ITGA2,0,0.2107
COL1A2,ITGA2B,0,0.2611
COL1A2,ITGAV,0,0.1640
COL1A2,ITGB1,0,0.5662
COL1A2,ITGB3,0,0.1135
COL2A1,DDR1,0,0.0749
COL2A1,ITGA1,1,0.9985
COL2A1,ITGA2,0,0.0972
COL2A1,ITGA2B,0,0.1589
COL2A1,ITGB1,0,0.0376
COL2A1,MAG,0,0.3904
COL2A1,TNFRSF10A,0,0.0675
COL3A1,DDR1,0,0.0245
COL3A1,DDR2,1,0.9108
COL3A1,ITGA2,0,0.2210
COL3A1,ITGB1,0,0.7947
COL3A1,MAG,1,0.9888
COL4A1,CD47,0,0.2264
COL4A1,CD93,0,0.1993
COL4A1,ITGA1,0,0.0552
COL4A1,ITGA2,0,0.1832
COL4A1,ITGAV,0,0.0375
COL4A1,ITGB1,0,0.0634
COL4A1,ITGB8,1,0.9810
COL4A2,CD93,0,0.1322
COL4A2,ITGB3,0,0.4628
COL4A2,ITGB5,1,0.9904
COL5A1,ITGA1,0,0.1871
COL5A1,ITGB1,0,0.0639
COL5A1,SDC3,1,0.9868
COL6A1,ITGA1,0,0.0539
COL6A1,ITGA2,0,0.1121
COL6A1,ITGA6,1,0.9923
COL6A1,ITGB1,0,0.0000
COLQ,MUSK,1,0.9460
CORT,ADRA2A,0,0.0703
CORT,GHSR,1,0.9972
CORT,GRM7,0,0.2779
CORT,MTNR1A,0,0.4029
CORT,SSTR1,0,0.2695
CPAMD8,SCTR,1,0.9489
CP,SLC40A1,1,0.9960
CRH,ADCYAP1R1,0,0.4750
CRH,ADRB2,0,0.2971
CRH,ADRB3,0,0.1825
CRH,CRHR1,1,0.9985
CRH,CRHR2,0,0.1032
CRH,GPR20,0,0.0000
CRH,GPR84,0,0.1392
CRH,PTH1R,0,0.0000
CRH,RAMP2,0,0.7102
CRH,RAMP3,0,0.5667
CRH,TSHR,0,0.1013
CRH,VIPR1,0,0.0633
CRP,OLR1,1,0.9991
CSF1,CSF1R,1,0.9985
CSF2,CSF1R,0,0.0617
CSF2,CSF2RA,1,0.9982
CSF2,CSF2RB,0,0.5237
CSF2,CSF3R,0,0.0056
CSF2,ITGA9,0,0.0915
CSF2,ITGB1,0,0.0493
CSF2,SDC2,0,0.0963
CSF3,CSF1R,0,0.0000
CSF3,CSF3R,1,0.9998
CSH1,PRLR,1,0.9324
CSHL1,GHR,1,0.9482
CSHL1,PRLR,0,0.4837
CTF1,IL6ST,1,0.9426
CTF1,LIFR,0,0.4777
CTGF,ERBB4,0,0.0000
CTGF,ITGA5,0,0.2787
CTGF,ITGAM,0,0.4424
CTGF,ITGB2,0,0.4234
CTGF,LRP1,0,0.5621
CTGF,LRP6,1,0.9985
CTHRC1,FZD3,1,0.9992
CTHRC1,FZD5,0,0.4656
CTHRC1,FZD6,0,0.2634
CX3CL1,CX3CR1,1,0.9961
CXCL10,ADRA2A,0,0.0318
CXCL10,CCR3,0,0.5612
CXCL10,CXCR3,0,0.1411
CXCL10,GRM7,0,0.0512
CXCL10,MTNR1A,0,0.8330
CXCL10,SDC4,1,0.9764
CXCL11,ACKR1,0,0.0723
CXCL11,ACKR3,1,0.9367
CXCL11,ADRA2A,0,0.1434
CXCL11,CCR3,0,0.0815
CXCL11,CXCR3,0,0.0759
CXCL11,GRM7,0,0.3539
CXCL11,MTNR1A,0,0.2382
CXCL12,ACKR3,0,0.1198
CXCL12,ADRA2A,0,0.1602
CXCL12,CCR4,0,0.2327
CXCL12,CD4,1,0.9711
CXCL12,CXCR3,0,0.7718
CXCL12,CXCR4,0,0.6925
CXCL12,GRM7,0,0.3316
CXCL12,ITGB1,0,0.0000
CXCL12,MTNR1A,0,0.1032
CXCL12,SDC4,0,0.0644
CXCL13,ACKR4,0,0.0015
CXCL13,ADRA2A,0,0.0022
CXCL13,CCR10,0,0.0270
CXCL13,CXCR3,0,0.0328
CXCL13,CXCR5,1,1.0000
CXCL13,GRM7,0,0.2863
CXCL13,HTR2A,0,0.0225
CXCL13,MTNR1A,0,0.0214
CXCL13,OPRD1,0,0.0193
CXCL16,ADRA2A,0,0.3122
CXCL16,CXCR6,1,0.9853
CXCL16,GRM7,0,0.0769
CXCL16,MTNR1A,0,0.1605
CXCL1,ACKR1,0,0.1604
CXCL1,ADRA2A,0,0.1541
CXCL1,CXCR1,1,0.9948
CXCL1,CXCR2,0,0.2010
CXCL1,ACKR1,0,0.1604
CXCL1,GRM7,0,0.3389
CXCL1,MTNR1A,0,0.2373
CXCL2,ADRA2A,0,0.5182
CXCL2,CXCR1,0,0.3135
CXCL2,CXCR2,1,0.9831
CXCL2,GRM7,0,0.5312
CXCL2,MTNR1A,0,0.0144
CXCL2,XCR1,0,0.1802
DCN,EGFR,1,0.9357
DCN,ERBB4,0,0.0387
DCN,MET,1,0.9951
DHH,BOC,1,0.9985
DHH,CDON,0,0.0854
DKK1,KREMEN1,1,0.9862
DKK1,KREMEN2,0,0.4981
DKK1,LRP5,0,0.8294
DKK1,LRP6,0,0.0816
DKK2,KREMEN2,1,0.9973
DKK2,LRP6,0,0.2577
DLK2,NOTCH1,1,0.9974
DLL1,NOTCH1,0,0.7661
DLL1,NOTCH2,1,0.9980
DLL1,NOTCH3,0,0.6885
DLL1,NOTCH4,0,0.3379
DLL4,NOTCH1,0,0.2645
DLL4,NOTCH4,1,0.9915
DSCAM,DCC,1,0.9219
DUSP18,CD151,1,0.9751
DUSP18,ITGA1,0,0.1648
DUSP18,ITGA2,0,0.0617
DUSP18,ITGA3,0,0.2272
DUSP18,ITGA6,0,0.1612
DUSP18,ITGA7,0,0.1305
DUSP18,ITGB1,0,0.8142
DUSP18,ITGB4,0,0.0722
DUSP18,RPSA,0,0.0865
EBI3,IL27RA,1,0.9999
EBI3,IL6ST,0,0.0076
ECM1,CACHD1,1,0.9992
EDA,EDA2R,1,0.9982
EDN1,EDNRA,1,0.9975
EDN1,EDNRB,0,0.2625
EDN1,KEL,0,0.0624
EDN2,EDNRA,0,0.3168
EDN2,EDNRB,1,0.9985
EDN2,KEL,0,0.0765
EDN3,EDNRA,0,0.0572
EDN3,EDNRB,0,0.0661
EDN3,KEL,1,0.9944
EFEMP2,AQP1,1,0.9930
EFEMP2,CATSPER1,0,0.5450
EFEMP2,LINGO1,0,0.5201
EFEMP2,PLSCR4,0,0.1892
EFNA1,EPHA1,0,0.0005
EFNA1,EPHA10,0,0.0000
EFNA1,EPHA2,0,0.0904
EFNA1,EPHA3,0,0.4544
EFNA1,EPHA4,0,0.0014
EFNA1,EPHA6,0,0.0318
EFNA1,EPHA7,0,0.1141
EFNA1,EPHA8,1,0.9980
EFNA1,EPHB6,0,0.0602
EFNA2,EPHA1,1,0.9797
EFNA2,EPHA10,0,0.5257
EFNA2,EPHA2,0,0.1061
EFNA2,EPHA3,0,0.2570
EFNA2,EPHA4,0,0.2162
EFNA2,EPHA6,0,0.1136
EFNA2,EPHA7,0,0.3176
EFNA2,EPHA8,0,0.0178
EFNA3,EPHA1,0,0.2851
EFNA3,EPHA10,0,0.3004
EFNA3,EPHA2,0,0.0002
EFNA3,EPHA3,0,0.3639
EFNA3,EPHA4,0,0.4019
EFNA3,EPHA6,0,0.1288
EFNA3,EPHA7,0,0.1171
EFNA3,EPHA8,0,0.0782
EFNA3,EPHB6,1,0.9874
EFNA4,EPHA1,0,0.5933
EFNA4,EPHA10,1,0.9459
EFNA4,EPHA2,0,0.0823
EFNA4,EPHA3,0,0.1373
EFNA4,EPHA4,0,0.1204
EFNA4,EPHA6,0,0.1305
EFNA4,EPHA7,0,0.5451
EFNA4,EPHA8,0,0.0513
EFNA5,EPHA1,0,0.1722
EFNA5,EPHA10,0,0.1718
EFNA5,EPHA2,1,0.9913
EFNA5,EPHA3,0,0.0723
EFNA5,EPHA4,0,0.4520
EFNA5,EPHA6,0,0.8266
EFNA5,EPHA7,0,0.4587
EFNA5,EPHA8,0,0.0967
EFNA5,EPHB2,0,0.4460
EFNA5,EPHB6,0,0.0026
EFNB1,EPHA6,1,0.9916
EFNB1,EPHB2,0,0.2987
EFNB1,EPHB6,0,0.1487
EFNB1,ERBB2,0,0.0576
EFNB2,EPHA3,1,0.9984
EFNB2,EPHA4,0,0.3692
EFNB2,EPHA6,0,0.0168
EFNB2,EPHB2,0,0.3241
EFNB2,EPHB6,0,0.3636
EFNB2,GRM5,0,0.0593
EFNB2,PECAM1,0,0.0000
EFNB2,RHBDL2,0,0.2752
EFNB3,EPHA4,1,0.9988
EFNB3,EPHB2,0,0.3621
EFNB3,EPHB6,0,0.4076
EFNB3,RHBDL2,0,0.3676
EGFL8,NCR3,1,0.9298
EGF,ADRB2,0,0.0045
EGF,CAV1,0,0.3526
EGF,EGFR,0,0.5257
EGF,ERBB2,0,0.0420
EGF,ERBB3,1,0.9920
EGF,ERBB4,0,0.0204
EGF,FSHR,0,0.8530
EGF,LDLR,0,0.2663
EGF,LRP2,0,0.3483
EPO,EPOR,1,0.9774
EXOC3-AS1,TRAF2,1,0.9998
