,x,y,type
c-41,2529.57931064354,4547.77037333604,Proliferating cell
c-42,2518.99706262287,4555.66467849602,Proliferating cell
c-43,2556.85176177146,4556.56122406604,Epithelial cell
c-44,2541.47460027736,4529.45755098514,Proliferating cell
c-45,2551.81220811539,4534.45425660487,Proliferating cell
c-46,2518.87308541286,4536.04013831557,Proliferating cell
c-47,2487.74621460297,4544.65647306657,Epithelial cell
c-48,2498.45592994836,4552.38652204237,Proliferating cell
c-49,2544.25055129313,4557.7406862403,Proliferating cell
c-50,2449.39724977408,4531.96544302065,Epithelial cell
c-51,2466.07880276228,4532.2103734687,Epithelial cell
c-52,2363.32941419018,4538.6440922552,Macrophage
c-53,2461.24277427737,4538.80357682858,Epithelial cell
c-54,2517.50071071559,4541.89756273467,Epithelial cell
c-55,2473.97651871914,4544.08102632914,Epithelial cell
c-56,2396.1311073619,4549.67575970642,Macrophage
c-57,2518.64898367403,4548.80521300015,Proliferating cell
c-58,2469.52054985931,4551.41490935338,Proliferating cell
c-59,2461.55043324609,4554.24621928351,Epithelial cell
c-60,2400.21731154945,4555.09296603922,Macrophage
c-61,2440.21120893596,4558.08839969279,Epithelial cell
c-62,2471.72946679982,4561.00063228443,Epithelial cell
c-63,2459.15625991287,4561.65908087968,CD8 T-cell
c-64,2524.22091444531,4560.54041834953,Proliferating cell
c-65,2479.55687912833,4527.84499784707,Fibroblast
c-66,2511.29103513624,4527.09758757846,Proliferating cell
c-67,2415.90780776866,4533.2787123095,Epithelial cell
c-68,2525.92770036546,4535.8350334083,Proliferating cell
c-69,2400.17473508754,4540.86468956994,Macrophage
c-70,2372.34509836685,4541.0800357502,Macrophage
c-71,2434.82286877174,4543.19418932716,Monocytes
c-72,2464.4360358664,4543.16046518859,Epithelial cell
c-73,2493.35718916961,4548.88299073144,Epithelial cell
c-74,2455.17874040956,4552.04223285944,Epithelial cell
c-75,2510.09730542085,4553.54774902135,Proliferating cell
c-76,2523.27910305885,4554.10116072749,Proliferating cell
c-77,2451.8271735632,4556.62799297561,Epithelial cell
c-78,2522.82506474141,4501.00710398473,Fibroblast
c-79,2475.60573744459,4502.10012755773,Monocytes
c-80,2454.01130281607,4505.96830780274,Epithelial cell
c-81,2427.9041418718,4506.38194777279,Epithelial cell
c-82,2444.55268500167,4505.61125638069,Epithelial cell
c-83,2516.11254329243,4512.01451319173,Epithelial cell
c-84,2471.88372995653,4512.48627939921,Epithelial cell
c-85,2481.12081372232,4514.8975093263,Epithelial cell
c-86,2437.034477926,4512.33650636384,Epithelial cell
c-87,2450.67038148918,4514.6985515588,Epithelial cell
c-88,2512.73329123747,4518.08588288236,Epithelial cell
c-89,2469.50126685673,4517.85572302241,Epithelial cell
c-90,2425.75052298878,4524.63164979756,Epithelial cell
c-91,2523.20674808631,4523.01761626351,Epithelial cell
c-92,2456.4784421835,4528.43674940606,Epithelial cell
c-93,2422.57838557932,4527.7870225922,Epithelial cell
c-94,2502.86538754325,4527.60473511481,Epithelial cell
c-95,2358.90135890408,4531.19363950909,Monocytes
c-96,2478.06761977004,4538.94561162924,Epithelial cell
c-97,2511.87462090449,4539.12523585186,Proliferating cell
c-98,2454.51736496746,4539.03244745074,Epithelial cell
c-99,2426.42605582698,4539.66470386407,Epithelial cell
c-100,2447.24155508496,4539.43658124283,Epithelial cell
c-101,2468.77932357121,4538.92098575649,Epithelial cell
c-102,2498.80486889792,4541.57279998279,Epithelial cell
c-103,2492.4848662846,4539.94333020895,Epithelial cell
c-104,2444.52600629524,4545.0493482353,Epithelial cell
c-105,2419.85691760213,4545.95092493766,Epithelial cell
c-106,2392.36526559472,4544.95905029059,Monocytes
c-107,2477.37205106412,4550.99447673367,Epithelial cell
c-108,2421.37719843832,4556.91979535769,Epithelial cell
c-109,2357.40132032283,4554.88289701297,Fibroblast
c-110,2465.88575760122,4556.57221441994,Proliferating cell
c-111,2402.53973675982,4558.18724240856,Macrophage
c-112,2466.50555374161,4561.60368577438,Proliferating cell
c-113,2510.59700229247,4561.85405656289,Proliferating cell
c-114,2395.10638015511,4506.28652392663,Monocytes
c-115,2386.87653873267,4509.18170094182,Monocytes
c-116,2525.51130238872,4517.15758172513,Epithelial cell
c-117,2434.24479179252,4521.15100141789,Epithelial cell
c-118,2443.63174070177,4524.82571337541,Epithelial cell
c-119,2393.92643653323,4526.11346812193,Epithelial cell
c-120,2416.72880525307,4526.41580715421,Monocytes
c-121,2513.3612999366,4531.28294299922,Proliferating cell
c-122,2419.44982740795,4539.78234795976,Epithelial cell
c-123,2363.5250436194,4543.666762935,Monocytes
c-124,2452.59000765304,4545.94705463232,Proliferating cell
c-125,2462.36619242644,4547.76884023656,Proliferating cell
c-126,2437.69347716114,4551.42287670791,Epithelial cell
c-127,2499.63097271089,4559.24695952904,Proliferating cell
c-128,2537.4522567327,4501.54675375923,Epithelial cell
c-129,2529.0854750176,4505.26351911442,Epithelial cell
c-130,2557.46586519953,4503.74307522591,Epithelial cell
c-131,2495.67455859523,4508.13974441513,Epithelial cell
c-132,2521.74314030437,4506.7301346388,Epithelial cell
c-133,2542.90508123742,4510.27909183145,Epithelial cell
c-134,2553.57662110415,4511.87294824062,Proliferating cell
c-135,2490.0144083598,4513.75599594059,Epithelial cell
c-136,2538.14402941507,4513.69444100563,Epithelial cell
c-137,2529.18913880095,4519.29892512456,Epithelial cell
c-138,2542.0582410714,4517.73314439946,Epithelial cell
c-139,2552.77125056625,4519.12625117611,CD8 T-cell
c-140,2474.64363736337,4520.78282075526,Epithelial cell
c-141,2516.59406048526,4522.6586812853,Epithelial cell
c-142,2508.32995667927,4522.65929752747,Epithelial cell
c-143,2549.95698891033,4524.05634788676,Proliferating cell
c-144,2536.45638755604,4528.66696510148,Proliferating cell
c-145,2525.33040140342,4528.8990497192,Epithelial cell
c-146,2470.73874893355,4534.06232529321,Epithelial cell
c-147,2537.76166929074,4538.56632310982,Proliferating cell
c-148,2531.96628504816,4536.89297794156,Epithelial cell
c-149,2543.22179273168,4540.89163234474,Proliferating cell
c-150,2524.89270034578,4540.92354415247,Proliferating cell
c-151,2503.81312378716,4544.16798510747,Proliferating cell
c-152,2548.5341442232,4548.08805913095,CD8 T-cell
c-153,2507.4688384816,4547.36683418632,Proliferating cell
c-154,2533.39922688686,4544.31956696371,Proliferating cell
c-155,2485.20766790539,4549.32239385746,Epithelial cell
c-156,2538.3724382855,4551.47899810634,Proliferating cell
c-157,2486.84469753911,4553.90048048432,Epithelial cell
c-158,2481.20007705056,4557.91663023577,Proliferating cell
c-159,2539.59912040344,4560.33585673112,Proliferating cell
c-160,2549.14909885002,4501.87150441523,Epithelial cell
c-161,2543.12460249769,4502.95804383764,Epithelial cell
c-162,2528.50094236296,4510.85702022338,Epithelial cell
c-163,2532.55731306808,4513.18352495297,Epithelial cell
c-164,2521.75860627749,4514.82180231339,Epithelial cell
c-165,2549.40496866791,4514.26124485493,Proliferating cell
c-166,2535.90237050922,4520.51687430027,Proliferating cell
c-167,2545.66407269975,4519.99181891354,Epithelial cell
c-168,2540.48887420609,4523.21058753971,Epithelial cell
c-169,2532.63499927832,4524.24643796624,Epithelial cell
c-170,2530.46100189888,4528.4334613772,Proliferating cell
c-171,2547.72862837185,4530.06485115685,Proliferating cell
c-172,2484.15079516098,4539.63526188494,Epithelial cell
c-173,2513.79050007661,4547.73270836879,Proliferating cell
c-174,2529.81891075536,4554.99274277252,Proliferating cell
c-175,2516.46277424108,4557.28554620533,Proliferating cell
c-176,2533.27527160076,4561.16404861457,Proliferating cell
c-177,2489.95518365328,4561.63944299369,Proliferating cell
c-178,2642.81012033216,4531.10703388741,Epithelial cell
c-179,2578.70767128853,4527.5275499199,Proliferating cell
c-180,2736.88915389889,4530.17351108764,Epithelial cell
c-181,2633.15598459811,4533.70785391272,Epithelial cell
c-182,2755.90718467996,4533.31900813183,Epithelial cell
c-183,2581.66866231984,4531.76387399989,Epithelial cell
c-184,2730.41965172073,4532.67291537555,Epithelial cell
c-185,2593.79695221062,4534.44751606472,Proliferating cell
c-186,2616.08995669164,4534.41499249678,Proliferating cell
c-187,2588.32085455049,4534.58279660936,Proliferating cell
c-188,2647.00093589144,4537.57980747999,Epithelial cell
c-189,2582.0347277362,4538.49599260998,Proliferating cell
c-190,2560.66030938406,4537.35047651219,Proliferating cell
c-191,2607.12095987321,4539.83491365386,Proliferating cell
c-192,2631.22106542248,4537.97257259776,Epithelial cell
c-193,2669.31828671977,4545.68194781538,Epithelial cell
c-194,2576.06891890044,4540.65692761784,Proliferating cell
c-195,2570.73644411554,4541.29306492041,Proliferating cell
c-196,2650.20504328518,4543.70931901391,Epithelial cell
c-197,2663.33996472765,4550.21990078037,Epithelial cell
c-198,2747.40450411224,4543.91746484837,Epithelial cell
c-199,2731.7309300786,4545.94703227653,Epithelial cell
c-200,2628.68972818345,4542.64457373106,Proliferating cell
c-201,2659.10183703249,4549.24727133502,Epithelial cell
c-202,2565.79111826473,4545.47130385658,CD8 T-cell
c-203,2618.28352203058,4547.16992467342,Proliferating cell
c-204,2562.71952085851,4548.30815926418,Proliferating cell
c-205,2579.66923018381,4548.06590551679,Proliferating cell
c-206,2625.22577485895,4548.15491794967,Proliferating cell
c-207,2609.44764464137,4548.00731769172,Proliferating cell
c-208,2645.34836365889,4552.57993627637,Proliferating cell
c-209,2734.53108380223,4555.57110623833,Epithelial cell
c-210,2559.56766533983,4551.73442972692,Proliferating cell
c-211,2600.29147254754,4550.80482718201,Proliferating cell
c-212,2612.95017833498,4551.32839596283,Proliferating cell
c-213,2640.63052285003,4552.44915820908,Proliferating cell
c-214,2589.2404846574,4553.16569103016,Proliferating cell
c-215,2591.76857623878,4528.52473277069,Epithelial cell
c-216,2745.34226800131,4530.32171084791,Epithelial cell
c-217,2604.29777199728,4533.80225905852,Epithelial cell
c-218,2610.33454968486,4543.98677454188,Proliferating cell
c-219,2574.58396121978,4545.51192275784,Proliferating cell
c-220,2632.09846218217,4547.76973916604,Proliferating cell
c-221,2654.44039166493,4547.38584038629,Epithelial cell
c-222,2594.37840714698,4549.67672667526,Proliferating cell
c-223,2647.81200205766,4550.01953951217,Epithelial cell
c-224,2572.51165544319,4551.3069777677,Proliferating cell
c-225,2638.06325700979,4550.31693154331,Proliferating cell
c-226,2604.22036204999,4551.80238678723,Proliferating cell
c-227,2621.46225573093,4552.47793955847,Epithelial cell
c-228,2567.6556301324,4554.49601940543,Proliferating cell
c-229,2720.85011125462,4553.84493088647,Monocytes
c-230,2578.06548456538,4555.16244820709,Proliferating cell
c-231,2632.68624983642,4554.5834497613,Proliferating cell
c-232,2689.48349032147,4554.30665745505,Monocytes
c-233,2592.77950541811,4556.15353926758,Proliferating cell
c-234,2586.70234312027,4558.05857885325,Proliferating cell
c-235,2750.06388766179,4500.42370933259,Epithelial cell
c-236,2748.40035212098,4504.28502408262,Epithelial cell
c-237,2598.8832848086,4500.79411601613,Epithelial cell
c-238,2573.19093808111,4500.65561407801,Epithelial cell
c-239,2578.36349571483,4501.02563839118,Epithelial cell
c-240,2605.56626907203,4500.91791076156,Proliferating cell
c-241,2606.71082133664,4505.20918758305,Epithelial cell
c-242,2613.57557247207,4504.45375817439,Epithelial cell
c-243,2717.91235125887,4503.66383621445,Epithelial cell
c-244,2568.26748338904,4505.66472370426,Epithelial cell
c-245,2620.64292867616,4505.71997149896,Epithelial cell
c-246,2588.91531836133,4506.53224093123,Epithelial cell
c-247,2630.23902246118,4507.82169115369,Epithelial cell
c-248,2724.29831165108,4507.73096137507,Epithelial cell
c-249,2580.30688616221,4506.30429170234,Epithelial cell
c-250,2562.09523144922,4506.8331447651,Epithelial cell
c-251,2585.07366936075,4505.94232060289,Epithelial cell
c-252,2596.36616911743,4508.69402356905,Proliferating cell
c-253,2576.64079276128,4507.84050986744,Epithelial cell
c-254,2639.9446762131,4513.0490083931,Epithelial cell
c-255,2674.59375208572,4517.10475137954,Proliferating cell
c-256,2570.74789682393,4512.68593970005,Epithelial cell
c-257,2738.85351630043,4510.63946719202,Epithelial cell
c-258,2650.73344758151,4513.43974955604,Epithelial cell
c-259,2621.46477665733,4514.0676642485,Proliferating cell
c-260,2563.85665317337,4514.62364411632,Epithelial cell
c-261,2727.34835061138,4516.79376422117,Epithelial cell
c-262,2617.55082571201,4521.32696776915,Proliferating cell
c-263,2663.46245251533,4516.61931152957,Epithelial cell
c-264,2684.09352422344,4519.12721069302,Epithelial cell
c-265,2671.06459665545,4519.77345416187,Epithelial cell
c-266,2582.34527509993,4515.88088504787,Proliferating cell
c-267,2575.67351917576,4513.78906700934,Proliferating cell
c-268,2596.23682718985,4517.31559897041,Proliferating cell
c-269,2626.26314033963,4516.57772938543,Epithelial cell
c-270,2743.65013481738,4514.7236151514,Epithelial cell
c-271,2631.39293364616,4519.75721705566,Epithelial cell
c-272,2742.43947087446,4518.05232122826,Epithelial cell
c-273,2577.01162220151,4520.25241002325,Proliferating cell
c-274,2651.21540066069,4517.27856018124,Proliferating cell
c-275,2646.97305493358,4524.89052253554,Epithelial cell
c-276,2680.78052241026,4526.98198201746,Epithelial cell
c-277,2558.67957165287,4526.40924735034,CD8 T-cell
c-278,2751.48010230816,4525.30657817271,Epithelial cell
c-279,2621.32212583241,4527.81216275608,Epithelial cell
c-280,2725.94298041972,4526.60911598121,Epithelial cell
c-281,2630.01345095595,4529.06993266661,Epithelial cell
c-282,2611.03180183437,4527.77991874349,Proliferating cell
c-283,2607.26124869313,4529.12307847722,Proliferating cell
c-284,2673.52199375797,4529.35891719338,Epithelial cell
c-285,2578.12294947261,4532.97676401753,Epithelial cell
c-286,2665.86159296564,4533.60153853173,Fibroblast
c-287,2729.58399032215,4538.15612695715,Epithelial cell
c-288,2747.35978645048,4536.40592782685,Epithelial cell
c-289,2599.91427307556,4538.78026557338,Proliferating cell
c-290,2690.89470426288,4540.63794593363,Epithelial cell
c-291,2614.37013057713,4539.4743058795,Proliferating cell
c-292,2663.64270809508,4543.19487965662,Epithelial cell
c-293,2588.61466834992,4541.38033300782,Proliferating cell
c-294,2595.67217493752,4541.4239377028,Proliferating cell
c-295,2665.98250352732,4549.25557699635,Epithelial cell
c-296,2676.89150133403,4546.73596037589,Epithelial cell
c-297,2638.43143122612,4543.30491409039,Epithelial cell
c-298,2624.86733718355,4541.82777573969,Proliferating cell
c-299,2602.93050859655,4545.53361883434,Proliferating cell
c-300,2759.36281490814,4548.13510791331,Epithelial cell
c-301,2597.57213048826,4546.84474310151,Proliferating cell
c-302,2745.90358744033,4552.08495606677,Epithelial cell
c-303,2583.43878049488,4552.81166001551,Proliferating cell
c-304,2617.33641229229,4554.85690862513,Proliferating cell
c-305,2625.81206293892,4554.14926525385,Proliferating cell
c-306,2660.69506678495,4555.68075430575,Epithelial cell
c-307,2596.41205328275,4556.25618721931,Proliferating cell
c-308,2601.41500690416,4557.18731967773,Proliferating cell
c-309,2564.02549011859,4558.94928686256,Proliferating cell
c-310,2611.67059153846,4556.38055479132,Proliferating cell
c-311,2637.94647570438,4557.29158475214,Proliferating cell
c-312,2623.37907957545,4558.66749992762,Proliferating cell
c-313,2593.5779683023,4504.58569928266,Epithelial cell
c-314,2736.93345668023,4506.45610338039,Epithelial cell
c-315,2694.62073754362,4509.91913545292,Monocytes
c-316,2711.62227052563,4509.11935496836,Monocytes
c-317,2584.18725555338,4511.17081216917,Epithelial cell
c-318,2587.4288003026,4516.2542278456,Proliferating cell
c-319,2709.24994642723,4518.06886283757,Monocytes
c-320,2733.69671359273,4518.96261868602,Epithelial cell
c-321,2565.25790058872,4522.86009370755,Epithelial cell
c-322,2598.59984139969,4520.6882627369,Epithelial cell
c-323,2571.22390020576,4523.10417512163,Proliferating cell
c-324,2659.67587299109,4522.44703876796,Proliferating cell
c-325,2739.59634443843,4523.87910666156,Epithelial cell
c-326,2583.75990377234,4524.14728885737,Proliferating cell
c-327,2696.77505588599,4524.13763709679,Monocytes
c-328,2692.81307325752,4527.29969562211,Monocytes
c-329,2731.17655998113,4526.389330125,CD8 T-cell
c-330,2664.53446437211,4526.731077714,Proliferating cell
c-331,2601.7459081404,4529.04199106328,Epithelial cell
c-332,2570.20437301717,4532.97834820052,Proliferating cell
c-333,2705.6271398015,4534.19632399798,Monocytes
c-334,2675.7373646459,4534.71762922824,Fibroblast
c-335,2737.81274175873,4538.8347720091,Epithelial cell
c-336,2558.53416748643,4539.47501089682,Proliferating cell
c-337,2574.04665748733,4536.52266683711,Proliferating cell
c-338,2619.30373863455,4540.11412065524,Proliferating cell
c-339,2568.4572447686,4539.17034875255,Epithelial cell
c-340,2720.11546413947,4546.11341485257,Monocytes
c-341,2704.65717513622,4547.97404515088,Monocytes
c-342,2587.19649140502,4548.67442375497,Proliferating cell
c-343,2715.1903275698,4553.67997999887,Monocytes
c-344,2606.86775796917,4557.45942115641,Proliferating cell
c-345,2805.4298516078,4535.7291411133,Fibroblast
c-346,2815.71699177796,4540.90476064639,Proliferating cell
c-347,2835.5678234805,4536.14735727,Macrophage
c-348,2805.17874872977,4540.06100476035,Proliferating cell
c-349,2768.50505122103,4540.86162304698,Proliferating cell
c-350,2791.10404467312,4541.30664633177,Proliferating cell
c-351,2800.3800074809,4541.05165615701,Proliferating cell
c-352,2833.42150558568,4546.86987851343,Proliferating cell
c-353,2852.13898015298,4541.32090527471,Proliferating cell
c-354,2841.49112600009,4548.28185784131,Proliferating cell
c-355,2870.42928443255,4546.28669472928,Epithelial cell
c-356,2881.94109447231,4547.0104658578,Proliferating cell
c-357,2777.5191616817,4551.12694914291,Proliferating cell
c-358,2794.12130484021,4551.53094653229,Proliferating cell
c-359,2865.64708472471,4549.86107623112,Proliferating cell
c-360,2900.11821296879,4551.6724061844,Proliferating cell
c-361,2874.47038269982,4550.66453888681,Proliferating cell
c-362,2760.28183006539,4557.56753596236,Epithelial cell
c-363,2881.12214077212,4554.76092788225,Epithelial cell
c-364,2905.23651436307,4528.60187449601,Epithelial cell
c-365,2874.47557634604,4528.87950968028,Epithelial cell
c-366,2883.40311044832,4532.40397545892,Proliferating cell
c-367,2865.57518902042,4536.77786620589,Epithelial cell
c-368,2868.26099537138,4540.48134666092,Proliferating cell
c-369,2897.05372792949,4545.55925374153,Epithelial cell
c-370,2786.99397921842,4552.18378663266,Proliferating cell
c-371,2852.63680501373,4546.98719769419,Epithelial cell
c-372,2772.21850892164,4551.68562207322,Epithelial cell
c-373,2915.7457223158,4542.48255593368,Epithelial cell
c-374,2938.75269749868,4551.27782673781,Macrophage
c-375,2933.12278704013,4528.46846465566,Monocytes
c-376,2903.97975943562,4514.51733877923,Epithelial cell
c-377,2947.74984775792,4500.05843713641,Monocytes
c-378,2915.4219804263,4517.16834511918,Fibroblast
c-379,2940.14330447055,4521.82648139781,Monocytes
c-380,2915.42638162555,4529.00869989261,Fibroblast
c-381,2935.73573433046,4533.20242631408,Monocytes
c-382,2910.30796342971,4547.88496678462,Epithelial cell
c-383,2953.21880783322,4548.97404456099,Monocytes
c-384,2811.35924800419,4501.77892904209,Epithelial cell
c-385,2859.66407587443,4502.44110624802,Epithelial cell
c-386,2864.06172582028,4501.48013756021,Epithelial cell
c-387,2814.69823700243,4505.47667664142,Epithelial cell
c-388,2870.57919272184,4501.27777301899,Epithelial cell
c-389,2904.32234206938,4502.75450059558,Epithelial cell
c-390,2890.85741416728,4503.17825034987,Epithelial cell
c-391,2832.93234671994,4509.2283258282,Epithelial cell
c-392,2877.19554453294,4507.29686666877,Epithelial cell
c-393,2819.27979799012,4507.13711976588,Proliferating cell
c-394,2838.09176922767,4510.99594589549,Epithelial cell
c-395,2844.93606934495,4509.52302765881,Epithelial cell
c-396,2909.08921091159,4506.07770131658,Epithelial cell
c-397,2799.34368516825,4507.17467387217,Fibroblast
c-398,2869.66166817492,4508.04118017472,Epithelial cell
c-399,2894.29534769083,4511.35859733449,Epithelial cell
c-400,2937.12667545306,4512.52499568249,Macrophage
c-401,2906.32429048783,4509.85027633115,Epithelial cell
c-402,2780.2658409749,4513.13469764346,Macrophage
c-403,2870.06703906965,4515.55209172016,Epithelial cell
c-404,2946.84993891593,4520.24942034157,Monocytes
c-405,2862.71404938698,4519.94976972783,Fibroblast
c-406,2898.63452741528,4520.80969235873,Epithelial cell
c-407,2931.17980007922,4521.631991926,Macrophage
c-408,2852.16137262573,4521.17974631762,Epithelial cell
c-409,2871.80013746962,4521.09746184301,Epithelial cell
c-410,2884.17350488737,4526.94275527701,CD8 T-cell
c-411,2848.21759726995,4525.86880486336,Epithelial cell
c-412,2824.97270158485,4529.61717876516,Fibroblast
c-413,2844.42215168147,4532.45646792971,Epithelial cell
c-414,2855.00994839701,4533.61326252268,Epithelial cell
c-415,2785.40393799182,4533.47251928178,Epithelial cell
c-416,2774.4724595307,4532.73494798998,Proliferating cell
c-417,2794.39630354527,4533.54927474877,Epithelial cell
c-418,2899.26319264391,4535.58463653803,Epithelial cell
c-419,2759.35139038763,4538.58770874326,Epithelial cell
c-420,2766.9901383424,4535.08250517617,Epithelial cell
c-421,2799.57374951038,4534.3585174017,Epithelial cell
c-422,2841.55772103055,4537.54422106106,Monocytes
c-423,2880.93914146281,4538.21076617762,Epithelial cell
c-424,2887.76031908413,4539.62191607335,Epithelial cell
c-425,2894.14907688169,4541.19829803203,Proliferating cell
c-426,2786.13139751833,4542.63322930252,Proliferating cell
c-427,2907.59127027635,4543.55878372176,Epithelial cell
c-428,2809.93799015501,4544.48245258687,Epithelial cell
c-429,2887.56060284246,4544.16587367347,Proliferating cell
c-430,2859.9112828833,4544.11577667399,Proliferating cell
c-431,2767.94763699314,4547.17701540026,Epithelial cell
c-432,2893.60570135836,4551.85656976602,Epithelial cell
c-433,2860.6867879709,4552.42711394389,Epithelial cell
c-434,2851.68674299868,4557.39142402847,CD8 T-cell
c-435,2935.89781428142,4500.0708745686,Monocytes
c-436,2852.29386911331,4507.33085481084,Epithelial cell
c-437,2825.67895825408,4507.92967895284,Epithelial cell
c-438,2912.73833158314,4506.82268603616,Fibroblast
c-439,2763.95983182498,4507.04313716607,Fibroblast
c-440,2882.34906070515,4509.27438652792,Epithelial cell
c-441,2763.09208099457,4512.48928706272,Fibroblast
c-442,2858.27719224239,4512.81214190467,Proliferating cell
c-443,2769.91681590634,4513.93411870743,Fibroblast
c-444,2882.85345912288,4516.61311994822,Epithelial cell
c-445,2805.10886883781,4514.51017855505,Macrophage
c-446,2797.92427546204,4524.1293279255,Macrophage
c-447,2910.23835585872,4523.77052411205,Epithelial cell
c-448,2855.88776846109,4526.57658555533,Epithelial cell
c-449,2866.6436023849,4528.23902838885,Epithelial cell
c-450,2900.36024706735,4530.07996215772,Epithelial cell
c-451,2810.02012011634,4532.03675560919,Fibroblast
c-452,2877.15688591812,4534.99902931084,Epithelial cell
c-453,2859.29828196903,4536.5123215071,Epithelial cell
c-454,2776.56978298004,4541.98655691573,Proliferating cell
c-455,2873.07128750027,4540.36069608971,Proliferating cell
c-456,2877.83619787793,4541.36752659712,Proliferating cell
c-457,2823.54807166451,4545.11325285,Proliferating cell
c-458,2795.89771015731,4543.80280519642,Proliferating cell
c-459,2804.24395715458,4549.1999967808,Proliferating cell
c-460,2807.92241807443,4554.67754819001,Proliferating cell
c-461,2976.17992514869,4526.22820655914,Monocytes
c-462,2987.71239540179,4537.75290888839,Monocytes
c-463,2991.44135412139,4548.9118064245,Monocytes
c-464,2969.23593066494,4507.75025658031,Macrophage
c-465,2997.19711153283,4517.20868786706,Monocytes
c-466,2976.46810525756,4500.27772484734,Monocytes
c-467,2986.2199845615,4501.53983453477,Monocytes
c-468,2982.92323404045,4512.53374554361,Monocytes
c-469,2988.9651140606,4530.87330503926,Monocytes
c-470,2992.86900900221,4540.81560516886,Monocytes
c-471,2960.356905604,4544.67466500826,Macrophage
c-472,2968.57935834256,4548.45537029382,Monocytes
c-473,2985.27758571127,4550.05922821825,Monocytes
c-474,2967.57279591061,4556.59779295166,Macrophage
c-475,2995.53376088732,4578.46295923514,Macrophage
c-476,2984.45271330962,4613.00716476211,Monocytes
c-477,2982.85750673268,4621.6191400804,Fibroblast
c-478,2982.38312210269,4678.77979424678,Monocytes
c-479,2986.61955501431,4727.33616154205,Fibroblast
c-480,2979.63067789944,4583.38912397303,Monocytes
c-481,2982.61939490919,4587.00025655477,Monocytes
c-482,2969.15572444629,4624.22548009542,Monocytes
c-483,2994.8070914318,4627.03243447425,Monocytes
c-484,2971.31070736413,4632.54836056599,Monocytes
c-485,2984.82208659139,4635.11488114218,Macrophage
c-486,2968.60324849961,4640.62052708129,Monocytes
c-487,2993.80420168787,4647.31352921788,Monocytes
c-488,2968.07608522655,4648.89397750005,Monocytes
c-489,2995.9899442386,4653.75144565463,Monocytes
c-490,2981.67483525719,4654.22082832468,Monocytes
c-491,2982.96657751544,4669.96299827453,Monocytes
c-492,2975.03504872331,4676.3735146688,Monocytes
c-493,2986.19330385707,4710.08600230772,Monocytes
c-494,2967.97667273902,4708.41742821027,Monocytes
c-495,2982.17449692094,4716.09571451836,Fibroblast
c-496,2972.17665908339,4725.00908884583,Fibroblast
c-497,2965.27186429241,4728.35022020499,Monocytes
c-498,2997.93090102324,4728.73152279734,Monocytes
c-499,2988.02085275747,4566.89021950089,Macrophage
c-500,2799.24771624761,4556.66687962728,Proliferating cell
c-501,2872.90912190564,4560.20895561111,Proliferating cell
c-502,2787.1417625078,4563.12915031934,Proliferating cell
c-503,2863.94301288823,4562.69023032674,Epithelial cell
c-504,2899.86408102628,4560.71874771842,Proliferating cell
c-505,2797.96688842781,4564.10335644176,Proliferating cell
c-506,2802.62393362212,4565.14339307065,Proliferating cell
c-507,2873.94060697071,4565.24452541873,Proliferating cell
c-508,2817.3280107907,4566.70144074499,Proliferating cell
