ligand,receptor,truelabel,pred
FGF11,FGFR2,0,0,0.7316
FGF11,FGFR3,1,1,0.9993
FGF12,FGFR4,1,1,0.9868
FGF13,FGFR1,0,0,0.8102
FGF13,FGFR2,0,0,0.1591
FGF19,FGFR1,0,0,0.5968
FGF19,FGFR2,0,0,0.4804
FGF19,FGFR4,0,0,0.3342
FGF1,EGFR,0,0,0.1333
FGF1,FGFR1,0,0,0.7486
FGF1,FGFR2,1,0,0.0714
FGF1,FGFR4,1,0,0.4343
FGF20,FGFR1,0,0,0.4473
FGF20,FGFR3,0,0,0.2309
FGF23,FGFR1,0,0,0.4832
FGF2,FGFR2,0,0,0.7847
FGF2,FGFR3,0,0,0.6882
FGF2,FGFR4,0,0,0.5626
FGF2,FGFRL1,0,0,0.5279
FGF2,GPC4,1,1,0.9850
FGF4,FGFR1,0,0,0.7320
FGF4,FGFR3,0,0,0.2350
FGF4,NRP1,1,1,0.9608
FN1,C5AR1,0,0,0.3169
FN1,CD44,0,0,0.7581
FN1,CD79A,0,0,0.0667
FN1,ITGA2,0,0,0.8304
FN1,ITGA5,0,0,0.3875
FN1,ITGA6,0,0,0.3018
FN1,ITGA8,0,0,0.1122
FN1,ITGA9,0,0,0.2983
FN1,ITGB3,0,0,0.0698
FN1,MAG,0,0,0.0411
FN1,SDC2,0,0,0.4883
FN1,TMPRSS6,1,1,0.9928
FN1,TNFRSF11B,0,0,0.0033
FN1,TSHR,0,0,0.7111
FSHB,ADRB2,0,0,0.4421
FSHB,ADRB3,0,0,0.4759
FSHB,GPR20,1,1,0.9754
FSHB,GPR84,0,0,0.2364
FSHB,RAMP3,0,0,0.5008
FSHB,TSHR,0,0,0.3433
FSHB,VIPR1,0,0,0.4399
FST,BMPR1B,0,0,0.1908
FST,HFE2,1,1,0.9960
GAD1,GRM4,1,1,0.9612
GALP,GALR1,1,1,0.9900
GAL,ADRA2A,0,0,0.7304
GAL,GALR1,1,0,0.6191
GAL,GALR2,1,1,0.9684
GAL,GRM7,0,0,0.6367
GAL,MTNR1A,0,0,0.0899
GAS6,MERTK,1,1,0.9960
GCG,ADCYAP1R1,0,0,0.5176
GCG,ADRB2,0,0,0.6897
GCG,ADRB3,0,0,0.3942
GCG,GPR20,0,0,0.4588
GCG,RAMP2,0,0,0.2782
GCG,RAMP3,0,0,0.2908
GCG,VIPR1,0,0,0.3129
GDF1,SMAD3,1,1,0.9573
GDF2,ACVR2A,0,0,0.4589
GDF2,ENG,0,0,0.7387
GDF5,ACVR1,0,0,0.3132
GDF5,ACVR2A,0,0,0.5958
GDF5,BMPR1A,0,0,0.3913
GDF9,ACVR2A,0,0,0.7436
GDF9,BMPR1A,0,0,0.5943
GDF9,BMPR2,0,0,0.4667
GDF9,FXYD6,1,1,0.9584
GDF9,TGFBR1,0,0,0.7025
GDNF,GFRA1,0,0,0.6276
GDNF,GFRA2,1,1,0.9628
GDNF,RET,0,0,0.0695
GHRH,ADCYAP1R1,0,0,0.5906
GHRH,GPR20,0,0,0.6572
GHRH,TSHR,0,0,0.2183
GIP,ADRB2,0,0,0.7281
GIP,ADRB3,0,0,0.7508
GIP,DPP4,1,1,0.9893
GIP,GPR20,0,0,0.5850
GIP,GPR84,0,0,0.6924
GIP,PTH1R,0,0,0.0760
GIP,RAMP2,0,0,0.1685
GIP,RAMP3,0,0,0.2001
GIP,TSHR,0,0,0.0564
GIP,VIPR1,0,0,0.1916
GNAI2,ADRA2A,0,0,0.2287
GNAI2,CAV1,0,0,0.8374
GNAI2,CCR5,0,0,0.5410
GNAI2,CXCR1,0,0,0.5648
GNAI2,EDNRA,0,0,0.6149
GNAI2,F2R,0,0,0.7051
GNAI2,FPR1,0,0,0.3492
GNAI2,IGF1R,0,0,0.7670
GNAI2,S1PR1,0,0,0.3398
GNAI2,TSHR,0,0,0.1166
GNAS,AVPR2,0,0,0.0457
GNAS,LHCGR,0,0,0.7200
GNAS,TSHR,0,0,0.7043
GNAS,VIPR1,1,1,0.9984
GNB3,GABBR2,1,1,0.9789
GNRH1,GNRHR,1,1,0.9575
GNRH2,GNRHR,0,0,0.8076
GPC3,LRP2,0,0,0.1997
GREM1,KDR,1,0,0.8886
GRP,BRS3,1,1,0.9770
GRP,GRPR,0,0,0.0033
GRP,NMBR,0,0,0.0664
GZMB,IGF2R,1,1,0.9674
HAS2,HMMR,1,1,0.9914
HBEGF,CD44,0,0,0.1042
HBEGF,ERBB2,0,0,0.8499
HCRT,HCRTR1,1,1,0.9970
HEBP1,GRM7,0,0,0.6573
HEBP1,MTNR1A,0,0,0.5182
HGF,ITGB1,0,0,0.0800
HGF,MET,0,0,0.0753
HGF,SDC1,1,1,0.9508
HGF,SDC2,0,0,0.5696
HGF,ST14,0,0,0.2551
HLA-A,APLP2,1,1,0.9657
HLA-A,CD3D,0,0,0.6916
HLA-A,ERBB2,0,0,0.3545
HLA-A,KIR3DL1,0,0,0.7756
HLA-B,CANX,1,1,0.9077
HLA-B,CD3D,0,0,0.0625
HLA-B,KIR3DL1,0,0,0.1065
HLA-B,LILRB2,0,0,0.6798
HLA-C,KIR3DL1,0,0,0.3752
HLA-C,LILRB2,0,0,0.3568
HLA-E,KLRC2,0,0,0.6624
HLA-G,KIR2DL4,1,1,0.9756
HLA-G,KLRC1,0,0,0.4966
HMGB1,TLR4,0,0,0.8346
HPX,LRP1,0,0,0.1679
HP,ASGR1,1,1,0.9853
HP,ASGR2,0,0,0.4645
HP,ITGAM,0,0,0.2337
HRAS,CAV1,0,0,0.7504
HRAS,GRIN2D,0,0,0.3718
HRAS,INSR,0,0,0.1715
HRAS,SDC2,0,0,0.4879
HSP90AA1,EGFR,0,0,0.0330
HSP90AA1,ERBB2,0,0,0.2592
HSP90B1,ERBB2,0,0,0.5095
HSP90B1,TLR7,0,0,0.7366
HSPA1A,TLR4,0,0,0.1730
HSPG2,ITGB1,0,0,0.6318
HSPG2,LRP2,0,0,0.0740
IAPP,ADCYAP1R1,0,0,0.1018
IAPP,ADRB3,0,0,0.4467
IAPP,GPR20,0,0,0.5039
IAPP,GPR84,0,0,0.1114
IAPP,RAMP3,0,0,0.3634
IAPP,TSHR,0,0,0.5870
IAPP,VIPR1,0,0,0.4521
ICAM1,CAV1,0,0,0.6526
ICAM1,EGFR,0,0,0.0109
ICAM1,IL2RG,0,0,0.5673
ICAM1,ITGAL,0,0,0.4408
ICAM2,ITGB2,0,0,0.0491
ICAM4,ITGA2B,0,0,0.4041
ICAM4,ITGAL,0,0,0.6917
ICAM4,ITGAM,0,0,0.6338
ICAM4,ITGAV,0,0,0.4155
ICAM4,ITGB1,0,0,0.2855
ICAM4,ITGB2,0,0,0.2953
ICAM4,ITGB3,0,0,0.0861
ICAM4,RHAG,1,1,0.9830
ICOSLG,ICOS,1,1,0.9732
IFNA14,IFNAR1,0,0,0.8229
IFNA2,IFNAR1,0,0,0.4132
IFNA2,IFNAR2,0,0,0.4271
IFNA5,IFNAR1,0,0,0.5772
IFNA5,IFNAR2,0,0,0.0000
IFNA6,IFNAR2,0,0,0.5346
IFNB1,IFNAR1,0,0,0.5329
IFNG,IFNGR1,1,1,0.9754
IGF1,INSR,0,0,0.2166
IGFBP4,LRP6,0,0,0.6687
IHH,BOC,0,0,0.2872
IHH,CDON,0,0,0.3287
IL10,IL10RA,0,0,0.3137
IL12A,IL12RB1,0,0,0.5583
IL12A,IL12RB2,0,0,0.2980
IL13,IL13RA1,0,0,0.2635
IL13,IL13RA2,0,0,0.5226
IL15,IL2RA,0,0,0.5599
IL17A,IL17RA,0,0,0.6704
IL17B,IL17RB,0,0,0.4772
IL17C,IL17RE,0,0,0.0884
IL17F,IL17RA,0,0,0.0528
IL18,CD48,0,0,0.0789
IL18,IL1RL2,0,0,0.0097
IL19,IL20RB,0,0,0.1665
IL1A,IL1R1,0,0,0.2710
IL1B,ADRB2,0,0,0.6871
IL1B,IL1R2,0,0,0.1925
IL21,IL2RG,0,0,0.6931
IL22,IL21R,0,0,0.2632
IL22,IL22RA1,0,0,0.5261
IL23A,IL12RB1,0,0,0.1585
IL23A,IL12RB2,0,0,0.3624
IL2,IL2RA,0,0,0.2544
IL31,IL31RA,0,0,0.4054
IL33,IL1RL1,0,0,0.7062
IL36B,IL1RL2,0,0,0.6323
IL36B,IL36RN,0,0,0.3400
IL4,IL13RA2,0,0,0.5640
IL5,IL5RA,0,0,0.2157
IL7,IL2RG,0,0,0.2801
IL7,IL7R,0,0,0.6073
IL8,CD79A,0,0,0.0709
IL8,CXCR1,0,0,0.2182
IL8,CXCR2,0,0,0.2903
IL8,ACKR1,0,0,0.3569
IL8,SDC2,0,0,0.4620
IL9,IL2RG,0,0,0.7077
INHBA,ACVR1,0,0,0.4428
INHBA,ACVR1B,0,0,0.0703
INHBA,ACVR2A,0,0,0.1673
INHBA,BAMBI,0,0,0.2479
INHBA,ENG,0,0,0.4916
INHBA,SMAD3,0,0,0.8109
INHBB,ACVR1,0,0,0.4688
INHBB,ACVR1B,0,0,0.0176
INHBB,ACVR1C,0,0,0.2002
INHBB,ACVR2A,0,0,0.0616
INHBB,ACVR2B,0,0,0.2274
INSL3,ADCYAP1R1,0,0,0.4158
INSL3,ADRB2,0,0,0.4654
INSL3,GPR20,0,0,0.6044
INSL3,RAMP2,0,0,0.2261
INSL3,RXFP2,0,0,0.7619
INSL3,VIPR1,0,0,0.2468
INSL5,ADRA2A,0,0,0.7465
INSL5,MTNR1A,0,0,0.0877
INSL5,RXFP3,0,0,0.0122
INSL5,RXFP4,0,0,0.6813
IRAK4,TLR6,0,0,0.8353
ITGB3BP,ITGB5,0,0,0.3650
JAG1,NOTCH3,0,0,0.8206
KITLG,EPOR,0,0,0.3763
KNG1,CD93,0,0,0.4488
KNG1,GP1BA,0,0,0.3297
KNG1,GPR135,0,0,0.8048
KNG1,ITGB2,0,0,0.4461
KNG1,MTNR1A,0,0,0.2383
KNG1,PLAUR,0,0,0.4703
KNG1,RXFP4,0,0,0.6952
KRTAP4-12,AQP1,0,0,0.1358
KRTAP4-12,CATSPER1,0,0,0.1696
KRTAP4-12,PLSCR4,0,0,0.4657
L1CAM,CNTN1,0,0,0.2525
L1CAM,EPHB2,0,0,0.4210
L1CAM,ERBB2,0,0,0.5602
L1CAM,FGFR2,0,0,0.6202
L1CAM,ITGA5,0,0,0.2318
LAMA1,ITGA1,0,0,0.5458
LAMA1,ITGA2,0,0,0.8432
LAMA1,ITGA6,0,0,0.3182
LAMA1,ITGB1,0,0,0.2142
LAMA1,ITGB4,0,0,0.1798
LAMA1,RPSA,0,0,0.1744
LAMA1,SDC2,0,0,0.3823
LAMA2,ITGA1,0,0,0.6094
LAMA2,ITGA2,0,0,0.8200
LAMA2,ITGA6,0,0,0.5111
LAMA2,RPSA,0,0,0.4260
LAMA5,ITGA3,0,0,0.7212
LAMB2,ITGB1,0,0,0.3411
LAMB2,RPSA,0,0,0.0306
LAMB3,ITGA2,0,0,0.8221
LAMB3,ITGB4,0,0,0.1514
LCN1,LMBR1L,0,0,0.6705
LGALS9,HAVCR2,0,0,0.6853
LIF,IL6ST,0,0,0.0068
LIN7C,ABCA1,0,0,0.4779
