,key,pos,neg
92,AANAT,MTNR1A,BMP7
93,AANAT,MTNR1A,HSPA1A
94,AANAT,MTNR1A,ICAM3
95,AANAT,MTNR1A,NLGN1
96,AANAT,MTNR1A,ITIH2
97,AANAT,MTNR1A,NDP
98,AANAT,MTNR1A,THBS1
99,AANAT,MTNR1A,NID1
100,AANAT,MTNR1A,CALCB
101,AANAT,MTNR1A,SHH
102,AANAT,MTNR1A,BTLA
103,AANAT,MTNR1A,MDK
104,AANAT,MTNR1A,OSM
105,AANAT,MTNR1A,SEMA3A
106,AANAT,MTNR1A,PYY
107,AANAT,MTNR1A,PECAM1
108,AANAT,MTNR1A,HAS2
109,AANAT,MTNR1A,ARTN
110,AANAT,MTNR1A,CALM1
111,AANAT,MTNR1A,C4B
112,AANAT,MTNR1A,CD5L
113,AANAT,MTNR1A,CALM2
114,AANAT,MTNR1A,WNT7A
115,AANAT,MTNR1A,EFNB1
116,AANAT,MTNR1A,GDF2
117,AANAT,MTNR1A,ACTR2
118,AANAT,MTNR1A,OMG
119,AANAT,MTNR1A,CALR
120,AANAT,MTNR1A,PDYN
121,AANAT,MTNR1A,CD52
122,AANAT,MTNR1A,SEMA3C
123,AANAT,MTNR1A,ARF1
124,AANAT,MTNR1A,DCN
125,AANAT,MTNR1A,PDGFA
126,AANAT,MTNR1A,GHRH
127,AANAT,MTNR1A,APOE
128,AANAT,MTNR1A,NPPC
129,AANAT,MTNR1A,GUCA2A
130,AANAT,MTNR1A,F8
131,AANAT,MTNR1A,CD14
132,AANAT,MTNR1A,ICAM4
133,AANAT,MTNR1A,SEMA4D
134,AANAT,MTNR1A,NTN4
135,AANAT,MTNR1A,EFNB2
136,AANAT,MTNR1A,EFNA4
137,AANAT,MTNR1A,INSL5
138,AANAT,MTNR1A,CNTN2
139,AANAT,MTNR1A,CCK
140,AANAT,MTNR1A,ZG16B
141,AANAT,MTNR1A,ADAM12
142,AANAT,MTNR1A,ANGPTL3
143,AANAT,MTNR1A,NPNT
144,AANAT,MTNR1A,APOB
145,AANAT,MTNR1A,FSHB
146,AANAT,MTNR1A,AGT
147,AANAT,MTNR1A,CTHRC1
148,AANAT,MTNR1A,CCL23
149,AANAT,MTNR1A,LYPD3
150,AANAT,MTNR1A,CDH1
151,AANAT,MTNR1A,ECM1
152,AANAT,MTNR1A,IL8
153,AANAT,MTNR1A,CGN
154,AANAT,MTNR1A,APLN
155,AANAT,MTNR1A,IL10
156,AANAT,MTNR1A,IL11
157,AANAT,MTNR1A,JAG1
158,AANAT,MTNR1A,IL4
159,AANAT,MTNR1A,AVP
160,AANAT,MTNR1A,HRAS
161,AANAT,MTNR1A,DKK2
162,AANAT,MTNR1A,SPP1
163,AANAT,MTNR1A,LAMA5
164,AANAT,MTNR1A,CORT
165,AANAT,MTNR1A,CXCL11
166,AANAT,MTNR1A,GPC3
167,AANAT,MTNR1A,CCL5
168,AANAT,MTNR1A,GDNF
169,AANAT,MTNR1A,CD70
170,AANAT,MTNR1A,MMP7
171,AANAT,MTNR1A,IL36A
172,AANAT,MTNR1A,LGALS3BP
173,AANAT,MTNR1A,ADAM2
174,AANAT,MTNR1A,PGF
175,AANAT,MTNR1A,PON2
176,AANAT,MTNR1A,FBN1
177,AANAT,MTNR1A,HDC
178,AANAT,MTNR1A,IL9
179,AANAT,MTNR1A,GIP
180,AANAT,MTNR1A,IFNA6
181,AANAT,MTNR1A,IL22
182,AANAT,MTNR1A,HMGB1
183,AANAT,MTNR1A,SAA1
184,AANAT,MTNR1A,CD36
185,AANAT,MTNR1A,SELPLG
186,AANAT,MTNR1A,ANXA1
187,AANAT,MTNR1A,S100A8
188,AANAT,MTNR1A,ICAM1
189,AANAT,MTNR1A,SERPING1
190,AANAT,MTNR1A,LRP1B
191,AANAT,MTNR1A,ADCYAP1
192,AANAT,MTNR1A,RLN2
193,AANAT,MTNR1A,POMC
194,AANAT,MTNR1A,PNOC
195,AANAT,MTNR1A,KLRB1
196,AANAT,MTNR1A,LIF
197,AANAT,MTNR1A,NECTIN3
198,AANAT,MTNR1A,WNT5A
199,AANAT,MTNR1A,NTNG2
200,AANAT,MTNR1A,IL36G
201,AANAT,MTNR1A,ITGB3BP
202,AANAT,MTNR1A,FST
203,AANAT,MTNR1A,WNT2
204,AANAT,MTNR1A,IAPP
205,AANAT,MTNR1A,BTC
206,AANAT,MTNR1A,EFNB3
207,AANAT,MTNR1A,COL1A2
208,AANAT,MTNR1A,GHRL
209,AANAT,MTNR1A,CP
210,AANAT,MTNR1A,COL6A1
211,AANAT,MTNR1A,TNFSF12
212,AANAT,MTNR1A,CD1D
213,AANAT,MTNR1A,LAMA1
214,AANAT,MTNR1A,QRFP
215,AANAT,MTNR1A,TNFSF9
216,AANAT,MTNR1A,NTN1
217,AANAT,MTNR1A,TNFSF8
218,AANAT,MTNR1A,NPY
219,AANAT,MTNR1A,BGN
220,AANAT,MTNR1A,CCL16
221,AANAT,MTNR1A,HSP90B1
222,AANAT,MTNR1A,COL4A2
223,AANAT,MTNR1A,NLGN2
224,AANAT,MTNR1A,EBI3
225,AANAT,MTNR1A,FGF23
226,AANAT,MTNR1A,IL17A
227,AANAT,MTNR1A,F10
228,AANAT,MTNR1A,ADAM15
229,AANAT,MTNR1A,PTHLH
230,AANAT,MTNR1A,WNT1
231,AANAT,MTNR1A,IL12A
232,AANAT,MTNR1A,CEACAM5
233,AANAT,MTNR1A,CCL11
234,AANAT,MTNR1A,FGF19
235,AANAT,MTNR1A,RSPO2
236,AANAT,MTNR1A,EDA
237,AANAT,MTNR1A,KNG1
238,AANAT,MTNR1A,GPI
239,AANAT,MTNR1A,COL2A1
240,AANAT,MTNR1A,C4A
241,AANAT,MTNR1A,RPS27A
242,AANAT,MTNR1A,TCN2
243,AANAT,MTNR1A,LTBP3
244,AANAT,MTNR1A,GZMB
245,AANAT,MTNR1A,GNB3
246,AANAT,MTNR1A,INHA
247,AANAT,MTNR1A,COL18A1
248,AANAT,MTNR1A,IGFBP4
249,AANAT,MTNR1A,NGF
250,AANAT,MTNR1A,LRPAP1
251,AANAT,MTNR1A,TNF
252,AANAT,MTNR1A,RSPO1
253,AANAT,MTNR1A,HLA-A
254,AANAT,MTNR1A,SLIT1
255,AANAT,MTNR1A,PTN
256,AANAT,MTNR1A,CLEC3A
257,AANAT,MTNR1A,SEMA6D
258,AANAT,MTNR1A,CXCL12
259,AANAT,MTNR1A,SST
260,AANAT,MTNR1A,XCL1
261,AANAT,MTNR1A,BCAN
262,AANAT,MTNR1A,NCAN
263,AANAT,MTNR1A,IFNB1
264,AANAT,MTNR1A,GAST
265,AANAT,MTNR1A,LTB
266,AANAT,MTNR1A,FLT3LG
267,AANAT,MTNR1A,HLA-G
268,AANAT,MTNR1A,CLCF1
269,AANAT,MTNR1A,IGF1
270,AANAT,MTNR1A,MATN1
271,AANAT,MTNR1A,SFTPD
272,AANAT,MTNR1A,VCAM1
273,AANAT,MTNR1A,HLA-C
274,AANAT,MTNR1A,CHAD
275,AANAT,MTNR1A,INSL3
276,AANAT,MTNR1A,EDN1
277,AANAT,MTNR1A,DKK1
278,AANAT,MTNR1A,TGFB2
279,AANAT,MTNR1A,CAMP
280,AANAT,MTNR1A,UTS2B
281,AANAT,MTNR1A,IRAK4
282,AANAT,MTNR1A,ANOS1
283,AANAT,MTNR1A,INHBC
284,AANAT,MTNR1A,CD34
285,AANAT,MTNR1A,CALCA
286,AANAT,MTNR1A,GDF10
287,AANAT,MTNR1A,LIPH
288,AANAT,MTNR1A,CXCL16
289,AANAT,MTNR1A,IL15
290,AANAT,MTNR1A,IL21
291,AANAT,MTNR1A,COL3A1
292,AANAT,MTNR1A,NTN3
293,AANAT,MTNR1A,PVR
294,AANAT,MTNR1A,HRG
295,AANAT,MTNR1A,TPH1
296,AANAT,MTNR1A,KITLG
297,AANAT,MTNR1A,CX3CL1
298,AANAT,MTNR1A,PDCD1LG2
299,AANAT,MTNR1A,ADM2
300,AANAT,MTNR1A,IL1B
301,AANAT,MTNR1A,MADCAM1
302,AANAT,MTNR1A,WNT11
303,AANAT,MTNR1A,CCL15
304,AANAT,MTNR1A,TNC
305,AANAT,MTNR1A,RELN
306,AANAT,MTNR1A,EFNA1
307,AANAT,MTNR1A,C1QTNF5
308,AANAT,MTNR1A,IFNA10
309,AANAT,MTNR1A,IL3
310,AANAT,MTNR1A,FGF12
311,AANAT,MTNR1A,CD40LG
312,AANAT,MTNR1A,HSPG2
313,AANAT,MTNR1A,TGM2
314,AANAT,MTNR1A,CCL18
315,AANAT,MTNR1A,KRTAP4-12
316,AANAT,MTNR1A,ADAM10
317,AANAT,MTNR1A,EFNA5
318,AANAT,MTNR1A,EFEMP2
319,AANAT,MTNR1A,IFNL1
320,AANAT,MTNR1A,PRSS23
321,AANAT,MTNR1A,CXCL13
322,AANAT,MTNR1A,APP
323,AANAT,MTNR1A,CCL21
324,AANAT,MTNR1A,F2
325,AANAT,MTNR1A,ICAM2
326,AANAT,MTNR1A,WNT3A
327,AANAT,MTNR1A,LPL
328,AANAT,MTNR1A,LAMB3
329,AANAT,MTNR1A,LY86
330,AANAT,MTNR1A,PF4
331,AANAT,MTNR1A,CD99
332,AANAT,MTNR1A,SEMA5A
333,AANAT,MTNR1A,SHBG
334,AANAT,MTNR1A,VEGFA
335,AANAT,MTNR1A,CEACAM6
336,AANAT,MTNR1A,CCL20
337,AANAT,MTNR1A,PPY
338,AANAT,MTNR1A,PENK
339,AANAT,MTNR1A,CRH
340,AANAT,MTNR1A,EDN3
341,AANAT,MTNR1A,NPB
342,AANAT,MTNR1A,FGF20
343,AANAT,MTNR1A,PDGFB
344,AANAT,MTNR1A,IL19
345,AANAT,MTNR1A,TAC1
346,AANAT,MTNR1A,OLFM2
347,AANAT,MTNR1A,NUCB2
348,AANAT,MTNR1A,NMS
349,AANAT,MTNR1A,HGF
350,AANAT,MTNR1A,FGF11
351,AANAT,MTNR1A,PTH2
352,AANAT,MTNR1A,B2M
353,AANAT,MTNR1A,SFRP1
354,AANAT,MTNR1A,HP
355,AANAT,MTNR1A,HCRT
356,AANAT,MTNR1A,CFC1
357,AANAT,MTNR1A,TF
358,AANAT,MTNR1A,TGFB1
359,AANAT,MTNR1A,PSAP
360,AANAT,MTNR1A,IL12B
361,AANAT,MTNR1A,EDN2
362,AANAT,MTNR1A,FGF13
363,AANAT,MTNR1A,TNFSF13
364,AANAT,MTNR1A,ADAM9
365,AANAT,MTNR1A,IL2
366,AANAT,MTNR1A,GAS6
367,AANAT,MTNR1A,PIP
368,AANAT,MTNR1A,PAPLN
369,AANAT,MTNR1A,GALP
370,AANAT,MTNR1A,CALM3
371,AANAT,MTNR1A,EXOC3-AS1
372,AANAT,MTNR1A,COL4A1
373,AANAT,MTNR1A,PROK2
374,AANAT,MTNR1A,TNFSF15
375,AANAT,MTNR1A,MIA
376,AANAT,MTNR1A,IL16
377,AANAT,MTNR1A,IL5
378,AANAT,MTNR1A,MYOC
379,AANAT,MTNR1A,FASLG
380,AANAT,MTNR1A,C4BPA
381,AANAT,MTNR1A,CCL13
382,AANAT,MTNR1A,COL5A1
383,AANAT,MTNR1A,FGA
384,AANAT,MTNR1A,CRP
385,AANAT,MTNR1A,SEMA4C
386,AANAT,MTNR1A,CXCL10
387,AANAT,MTNR1A,GUCA2B
388,AANAT,MTNR1A,CELA3B
389,AANAT,MTNR1A,DLL1
390,AANAT,MTNR1A,BMP15
391,AANAT,MTNR1A,IL23A
392,AANAT,MTNR1A,HLA-E
393,AANAT,MTNR1A,RSPO3
394,AANAT,MTNR1A,BST2
395,AANAT,MTNR1A,IFNL2
396,AANAT,MTNR1A,DLK2
397,AANAT,MTNR1A,RLN1
398,AANAT,MTNR1A,CSF2
399,AANAT,MTNR1A,TIM-1
400,AANAT,MTNR1A,ADAM17
401,AANAT,MTNR1A,C1QTNF1
402,AANAT,MTNR1A,IL1A
403,AANAT,MTNR1A,NTS
404,AANAT,MTNR1A,BMP10
405,AANAT,MTNR1A,WNT3
406,AANAT,MTNR1A,CXCL1
407,AANAT,MTNR1A,KISS1
408,AANAT,MTNR1A,DSC1
409,AANAT,MTNR1A,SEMA6A
410,AANAT,MTNR1A,CGA
411,AANAT,MTNR1A,NECTIN2
412,AANAT,MTNR1A,NPVF
413,AANAT,MTNR1A,ADAM28
414,AANAT,MTNR1A,CNTF
415,AANAT,MTNR1A,GNAI2
416,AANAT,MTNR1A,EFNA2
417,AANAT,MTNR1A,BMP2
418,AANAT,MTNR1A,MLLT4
419,AANAT,MTNR1A,RLN3
420,AANAT,MTNR1A,EGF
421,AANAT,MTNR1A,NPW
422,AANAT,MTNR1A,FGF2
423,AANAT,MTNR1A,IL18
424,AANAT,MTNR1A,HSP90AA1
425,AANAT,MTNR1A,CD80
426,AANAT,MTNR1A,SOST
427,AANAT,MTNR1A,ADM
428,AANAT,MTNR1A,FGF10
429,AANAT,MTNR1A,DSC2
430,AANAT,MTNR1A,TNFSF14
431,AANAT,MTNR1A,ALOX5AP
432,AANAT,MTNR1A,IL17F
433,AANAT,MTNR1A,PLG
434,AANAT,MTNR1A,CCL2
435,AANAT,MTNR1A,BST1
436,AANAT,MTNR1A,BDNF
437,ACTR2,ADRB2,IL20
438,ACTR2,ADRB2,NTF4
439,ACTR2,ADRB2,NPPA
440,ACTR2,ADRB2,APOC3
441,ACTR2,ADRB2,C5
442,ACTR2,ADRB2,GSTP1
443,ACTR2,ADRB2,FN1
444,ACTR2,ADRB2,LGALS1
445,ACTR2,ADRB2,COL1A1
446,ACTR2,ADRB2,VEGFC
447,ACTR2,ADRB2,SEMA4B
448,ACTR2,ADRB2,AGRP
449,ACTR2,ADRB2,LY6G5C
450,ACTR2,ADRB2,PTGS2
451,ACTR2,ADRB2,AREG
452,ACTR2,ADRB2,LAMA2
453,ACTR2,ADRB2,IL1F10
454,ACTR2,ADRB2,SLIT2
455,ACTR2,ADRB2,DLL4
456,ACTR2,ADRB2,BMP4
457,ACTR2,ADRB2,PTDSS1
458,ACTR2,ADRB2,PROK1
459,ACTR2,ADRB2,SEMA4A
460,ACTR2,ADRB2,NCAM1
461,ACTR2,ADRB2,IGFL1
462,ACTR2,ADRB2,CSF1
463,ACTR2,ADRB2,SCT
464,ACTR2,ADRB2,LILRB4
465,ACTR2,ADRB2,L1CAM
466,ACTR2,ADRB2,PROS1
467,ACTR2,ADRB2,DUSP18
468,ACTR2,ADRB2,IL31
469,ACTR2,ADRB2,SHP1
470,ACTR2,ADRB2,CCL17
471,ACTR2,ADRB2,NID2
472,ACTR2,ADRB2,GCG
473,ACTR2,ADRB2,NPFF
474,ACTR2,ADRB2,NMU
475,ACTR2,ADRB2,IFNA14
476,ACTR2,ADRB2,CXCL2
477,ACTR2,ADRB2,APOC1
478,ACTR2,ADRB2,PIK3CD-AS1
479,ACTR2,ADRB2,C3
480,ACTR2,ADRB2,FGF1
481,ACTR2,ADRB2,CCL25
482,ACTR2,ADRB2,CD22
483,ACTR2,ADRB2,F11
484,ACTR2,ADRB2,NTF3
485,ACTR2,ADRB2,SPINK1
486,ACTR2,ADRB2,CCL19
487,ACTR2,ADRB2,MST1
488,ACTR2,ADRB2,PDGFC
489,ACTR2,ADRB2,PLAU
490,ACTR2,ADRB2,HLA-F
491,ACTR2,ADRB2,GNAS
492,ACTR2,ADRB2,SERPINA7
493,ACTR2,ADRB2,HBEGF
494,ACTR2,ADRB2,TAC4
495,ACTR2,ADRB2,NLGN3
496,ACTR2,ADRB2,TNFSF10
497,ACTR2,ADRB2,RARRES2
498,ACTR2,ADRB2,CTGF
499,ACTR2,ADRB2,ANGPT2
500,ACTR2,ADRB2,SHANK1
501,ACTR2,ADRB2,CSF3
502,ACTR2,ADRB2,EFNA3
503,ACTR2,ADRB2,FARP2
504,ACTR2,ADRB2,CCL14
505,ACTR2,ADRB2,FGF4
506,ACTR2,ADRB2,GDF1
507,ACTR2,ADRB2,LAMB2
508,ACTR2,ADRB2,REN
509,ACTR2,ADRB2,LTA
510,ACTR2,ADRB2,INHBB
511,ACTR2,ADRB2,NTNG1
512,ACTR2,ADRB2,GDF9
513,ACTR2,ADRB2,CD55
514,ACTR2,ADRB2,NPS
515,ACTR2,ADRB2,GDF5
516,ACTR2,ADRB2,PSEN1
517,ACTR2,ADRB2,HEBP1
518,ACTR2,ADRB2,INHBA
519,ACTR2,ADRB2,ANGPT1
520,ACTR2,ADRB2,SPINT1
521,ACTR2,ADRB2,NRTN
522,ACTR2,ADRB2,CLEC2B
523,ACTR2,ADRB2,DHH
524,ACTR2,ADRB2,CLEC2A
525,ACTR2,ADRB2,AGRN
526,ACTR2,ADRB2,OXT
527,ACTR2,ADRB2,LTF
528,ACTR2,ADRB2,BMP7
529,ACTR2,ADRB2,HSPA1A
530,ACTR2,ADRB2,ICAM3
531,ACTR2,ADRB2,NLGN1
532,ACTR2,ADRB2,ITIH2
533,ACTR2,ADRB2,NDP
534,ACTR2,ADRB2,THBS1
535,ACTR2,ADRB2,NID1
536,ACTR2,ADRB2,CALCB
537,ACTR2,ADRB2,SHH
538,ACTR2,ADRB2,BTLA
539,ACTR2,ADRB2,MDK
540,ACTR2,ADRB2,OSM
541,ACTR2,ADRB2,SEMA3A
542,ACTR2,ADRB2,PYY
543,ACTR2,ADRB2,PECAM1
544,ACTR2,ADRB2,HAS2
545,ACTR2,ADRB2,ARTN
546,ACTR2,ADRB2,CALM1
547,ACTR2,ADRB2,C4B
548,ACTR2,ADRB2,CD5L
549,ACTR2,ADRB2,CALM2
550,ACTR2,ADRB2,WNT7A
551,ACTR2,ADRB2,EFNB1
552,ACTR2,ADRB2,GDF2
553,ACTR2,ADRB2,OMG
554,ACTR2,ADRB2,CALR
555,ACTR2,ADRB2,PDYN
556,ACTR2,ADRB2,CD52
557,ACTR2,ADRB2,SEMA3C
558,ACTR2,ADRB2,ARF1
559,ACTR2,ADRB2,DCN
560,ACTR2,ADRB2,PDGFA
561,ACTR2,ADRB2,GHRH
562,ACTR2,ADRB2,APOE
563,ACTR2,ADRB2,NPPC
564,ACTR2,ADRB2,GUCA2A
565,ACTR2,ADRB2,F8
566,ACTR2,ADRB2,CD14
567,ACTR2,ADRB2,ICAM4
568,ACTR2,ADRB2,SEMA4D
569,ACTR2,ADRB2,NTN4
570,ACTR2,ADRB2,EFNB2
571,ACTR2,ADRB2,EFNA4
572,ACTR2,ADRB2,INSL5
573,ACTR2,ADRB2,CNTN2
574,ACTR2,ADRB2,CCK
575,ACTR2,ADRB2,ZG16B
576,ACTR2,ADRB2,ADAM12
577,ACTR2,ADRB2,ANGPTL3
578,ACTR2,ADRB2,NPNT
579,ACTR2,ADRB2,APOB
580,ACTR2,ADRB2,FSHB
581,ACTR2,ADRB2,AGT
582,ACTR2,ADRB2,CTHRC1
583,ACTR2,ADRB2,CCL23
584,ACTR2,ADRB2,LYPD3
585,ACTR2,ADRB2,CDH1
586,ACTR2,ADRB2,ECM1
587,ACTR2,ADRB2,IL8
588,ACTR2,ADRB2,CGN
589,ACTR2,ADRB2,APLN
590,ACTR2,ADRB2,IL10
591,ACTR2,ADRB2,IL11
592,ACTR2,ADRB2,JAG1
593,ACTR2,ADRB2,IL4
594,ACTR2,ADRB2,AVP
595,ACTR2,ADRB2,HRAS
596,ACTR2,ADRB2,DKK2
597,ACTR2,ADRB2,SPP1
598,ACTR2,ADRB2,LAMA5
599,ACTR2,ADRB2,CORT
600,ACTR2,ADRB2,CXCL11
601,ACTR2,ADRB2,GPC3
602,ACTR2,ADRB2,CCL5
603,ACTR2,ADRB2,GDNF
604,ACTR2,ADRB2,CD70
605,ACTR2,ADRB2,MMP7
606,ACTR2,ADRB2,IL36A
607,ACTR2,ADRB2,LGALS3BP
608,ACTR2,ADRB2,ADAM2
609,ACTR2,ADRB2,PGF
610,ACTR2,ADRB2,PON2
611,ACTR2,ADRB2,FBN1
612,ACTR2,ADRB2,HDC
613,ACTR2,ADRB2,IL9
614,ACTR2,ADRB2,AANAT
615,ACTR2,ADRB2,GIP
616,ACTR2,ADRB2,IFNA6
617,ACTR2,ADRB2,IL22
618,ACTR2,ADRB2,HMGB1
619,ACTR2,ADRB2,SAA1
620,ACTR2,ADRB2,CD36
621,ACTR2,ADRB2,SELPLG
622,ACTR2,ADRB2,ANXA1
623,ACTR2,ADRB2,S100A8
624,ACTR2,ADRB2,ICAM1
625,ACTR2,ADRB2,SERPING1
626,ACTR2,ADRB2,LRP1B
627,ACTR2,ADRB2,ADCYAP1
628,ACTR2,ADRB2,RLN2
629,ACTR2,ADRB2,POMC
630,ACTR2,ADRB2,PNOC
631,ACTR2,ADRB2,KLRB1
632,ACTR2,ADRB2,LIF
633,ACTR2,ADRB2,NECTIN3
634,ACTR2,ADRB2,WNT5A
635,ACTR2,ADRB2,NTNG2
636,ACTR2,ADRB2,IL36G
637,ACTR2,ADRB2,ITGB3BP
638,ACTR2,ADRB2,FST
639,ACTR2,ADRB2,WNT2
640,ACTR2,ADRB2,IAPP
641,ACTR2,ADRB2,BTC
642,ACTR2,ADRB2,EFNB3
643,ACTR2,ADRB2,COL1A2
644,ACTR2,ADRB2,GHRL
645,ACTR2,ADRB2,CP
646,ACTR2,ADRB2,COL6A1
647,ACTR2,ADRB2,TNFSF12
648,ACTR2,ADRB2,CD1D
649,ACTR2,ADRB2,LAMA1
650,ACTR2,ADRB2,QRFP
651,ACTR2,ADRB2,TNFSF9
652,ACTR2,ADRB2,NTN1
653,ACTR2,ADRB2,TNFSF8
654,ACTR2,ADRB2,NPY
655,ACTR2,ADRB2,BGN
656,ACTR2,ADRB2,CCL16
657,ACTR2,ADRB2,HSP90B1
658,ACTR2,ADRB2,COL4A2
659,ACTR2,ADRB2,NLGN2
660,ACTR2,ADRB2,EBI3
661,ACTR2,ADRB2,FGF23
662,ACTR2,ADRB2,IL17A
663,ACTR2,ADRB2,F10
664,ACTR2,ADRB2,ADAM15
665,ACTR2,ADRB2,PTHLH
666,ACTR2,ADRB2,WNT1
667,ACTR2,ADRB2,IL12A
668,ACTR2,ADRB2,CEACAM5
669,ACTR2,ADRB2,CCL11
670,ACTR2,ADRB2,FGF19
671,ACTR2,ADRB2,RSPO2
672,ACTR2,ADRB2,EDA
673,ACTR2,ADRB2,KNG1
674,ACTR2,ADRB2,GPI
675,ACTR2,ADRB2,COL2A1
676,ACTR2,ADRB2,C4A
677,ACTR2,ADRB2,RPS27A
678,ACTR2,ADRB2,TCN2
679,ACTR2,ADRB2,LTBP3
680,ACTR2,ADRB2,GZMB
681,ACTR2,ADRB2,GNB3
682,ACTR2,ADRB2,INHA
683,ACTR2,ADRB2,COL18A1
684,ACTR2,ADRB2,IGFBP4
685,ACTR2,ADRB2,NGF
686,ACTR2,ADRB2,LRPAP1
687,ACTR2,ADRB2,TNF
688,ACTR2,ADRB2,RSPO1
689,ACTR2,ADRB2,HLA-A
690,ACTR2,ADRB2,SLIT1
691,ACTR2,ADRB2,PTN
692,ACTR2,ADRB2,CLEC3A
693,ACTR2,ADRB2,SEMA6D
694,ACTR2,ADRB2,CXCL12
695,ACTR2,ADRB2,SST
696,ACTR2,ADRB2,XCL1
697,ACTR2,ADRB2,BCAN
698,ACTR2,ADRB2,NCAN
699,ACTR2,ADRB2,IFNB1
700,ACTR2,ADRB2,GAST
701,ACTR2,ADRB2,LTB
702,ACTR2,ADRB2,FLT3LG
703,ACTR2,ADRB2,HLA-G
704,ACTR2,ADRB2,CLCF1
705,ACTR2,ADRB2,IGF1
706,ACTR2,ADRB2,MATN1
707,ACTR2,ADRB2,SFTPD
708,ACTR2,ADRB2,VCAM1
709,ACTR2,ADRB2,HLA-C
710,ACTR2,ADRB2,CHAD
711,ACTR2,ADRB2,INSL3
712,ACTR2,ADRB2,EDN1
713,ACTR2,ADRB2,DKK1
714,ACTR2,ADRB2,TGFB2
715,ACTR2,ADRB2,CAMP
716,ACTR2,ADRB2,UTS2B
717,ACTR2,ADRB2,IRAK4
718,ACTR2,ADRB2,ANOS1
719,ACTR2,ADRB2,INHBC
720,ACTR2,ADRB2,CD34
721,ACTR2,ADRB2,CALCA
722,ACTR2,ADRB2,GDF10
723,ACTR2,ADRB2,LIPH
724,ACTR2,ADRB2,CXCL16
725,ACTR2,ADRB2,IL15
726,ACTR2,ADRB2,IL21
